"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","142","D. Keskin","Nanogels: A novel approach in antimicrobial delivery systems and antimicrobial coatings","2021","Bioactive Materials","","10.1016/j.bioactmat.2021.03.004","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103698205&origin=inward","Parsial","28.40","2452-199X","6","10"
"2","80","W. Shen","Natural polyphenol inspired polycatechols for efficient sirna delivery","2020","Ccs Chemistry","","10.31635/ccschem.020.201900084","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107764078&origin=inward","Parsial","13.33","2096-5745","2","3"
"3","59","S. Xiao","A Multifunctional Coating Strategy for Promotion of Immunomodulatory and Osteo/Angio-Genic Activity","2023","Advanced Functional Materials","","10.1002/adfm.202208968","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142139572&origin=inward","Parsial","19.67","1616-301X","33","4"
"4","58","L. Qiu","Effects of nanoemulsion-based chicken bone gelatin-chitosan coatings with cinnamon essential oil and rosemary extract on the storage quality of ready-to-eat chicken patties","2022","Food Packaging and Shelf Life","","10.1016/j.fpsl.2022.100933","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136547347&origin=inward","Ya","14.50","2214-2894","34",""
"5","48","Y. Liu","Natural polyphenols for drug delivery and tissue engineering construction: A review","2024","European Journal of Medicinal Chemistry","","10.1016/j.ejmech.2024.116141","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182793783&origin=inward","Parsial","24.00","0223-5234","266",""
"6","46","S.O. Olunusi","Revolutionizing tropical fruits preservation: Emerging edible coating technologies","2024","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2024.130682","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188230318&origin=inward","Parsial","23.00","0141-8130","264",""
"7","45","C. Ruan","Higher affinity of polyphenol to zein than to amyloid fibrils leading to nanoparticle-embed network wall scaffold to construct amyloid fibril-zein-EGCG hydrogels for coating of beef","2022","Food Research International","","10.1016/j.foodres.2022.111187","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127060545&origin=inward","Parsial","11.25","0963-9969","156",""
"8","40","M. Ghasemian","Recent progress in tannic acid based approaches as a natural polyphenolic biomaterial for cancer therapy: A review","2023","Biomedicine and Pharmacotherapy","","10.1016/j.biopha.2023.115328","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171601160&origin=inward","Parsial","13.33","0753-3322","166",""
"9","39","R. Thakur","Characteristics and application of animal byproduct-based films and coatings in the packaging of food products","2023","Trends in Food Science and Technology","","10.1016/j.tifs.2023.104143","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85172192676&origin=inward","Parsial","13.00","0924-2244","140",""
"10","37","A. Rashid","Exploring the potential of pullulan-based films and coatings for effective food preservation: A comprehensive analysis of properties, activation strategies and applications","2024","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2024.129479","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183151685&origin=inward","Parsial","18.50","0141-8130","260",""
"11","34","A.A. Vu","Natural Antibiotic Oregano in Hydroxyapatite-Coated Titanium Reduces Osteoclastic Bone Resorption for Orthopedic and Dental Applications","2020","ACS Applied Materials and Interfaces","","10.1021/acsami.0c14993","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096722523&origin=inward","Parsial","5.67","1944-8244","12","47"
"12","31","L. Xu","Zinc finger-inspired peptide-metal-phenolic nanointerface enhances bone-implant integration under bacterial infection microenvironment through immune modulation and osteogenesis promotion","2024","Bioactive Materials","","10.1016/j.bioactmat.2024.08.009","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85202023991&origin=inward","Parsial","15.50","2452-199X","41",""
"13","23","B. Pang","Design of a ZnO@Plant Polyphenol/Poly(vinyl alcohol) Film via Plant Polyphenol-Induced Cross-Linking and Its Enhanced UV Shielding and Antibacterial Performance","2022","ACS Sustainable Chemistry and Engineering","","10.1021/acssuschemeng.2c01444","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135564858&origin=inward","Ya","5.75","2168-0485","10","29"
"14","22","Y. Li","Biomimetic metal-phenolic network with cyclolactam hydrogel coating on PPENK implant facilitate bone repair","2024","Chemical Engineering Journal","","10.1016/j.cej.2024.150234","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187961415&origin=inward","Ya","11.00","1385-8947","486",""
"15","22","S. Eldurini","A multicompartment vascular implant of electrospun wintergreen oil/ polycaprolactone fibers coated with poly(ethylene oxide)","2021","Biomedical Journal","","10.1016/j.bj.2020.04.008","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107361793&origin=inward","Parsial","4.40","2319-4170","44","5"
"16","22","A. Mieszkowska","Phenolic-enriched collagen fibrillar coatings on titanium alloy to promote osteogenic differentiation and reduce inflammation","2020","International Journal of Molecular Sciences","","10.3390/ijms21176406","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090199698&origin=inward","Parsial","3.67","1661-6596","21","17"
