"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","171","A. Eskandarinia","A Novel Bilayer Wound Dressing Composed of a Dense Polyurethane/Propolis Membrane and a Biodegradable Polycaprolactone/Gelatin Nanofibrous Scaffold","2020","Scientific Reports","","10.1038/s41598-020-59931-2","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079796213&origin=inward","Ya","28.50","2045-2322","10","1"
"2","132","A. Eskandarinia","A propolis enriched polyurethane-hyaluronic acid nanofibrous wound dressing with remarkable antibacterial and wound healing activities","2020","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2020.01.255","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078749918&origin=inward","Parsial","22.00","0141-8130","149",""
"3","27","S.M. Doodmani","Electrospinning-netting of spider-inspired polycaprolactone/collagen nanofiber-nets incorporated with Propolis extract for enhanced wound healing applications","2024","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2024.131452","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190319201&origin=inward","Ya","13.50","0141-8130","267",""
"4","17","J. González-Masís","Increased fibroblast metabolic activity of collagen scaffolds via the addition of propolis nanoparticles","2020","Materials","","10.3390/ma13143118","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088498910&origin=inward","Ya","2.83","1996-1944","13","14"
"5","16","L. Jaldin-Crespo","Nanomaterials Based on Honey and Propolis for Wound Healing—A Mini-Review","2022","Nanomaterials","","10.3390/nano12244409","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85144843728&origin=inward","Parsial","4.00","2079-4991","12","24"
"6","13","H. Zhao","“Jianbing” styling multifunctional electrospinning composite membranes for wound healing","2022","Frontiers in Bioengineering and Biotechnology","","10.3389/fbioe.2022.943695","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85137815363&origin=inward","Parsial","3.25","2296-4185","10",""
"7","11","H.I.M. Ibrahim","Honey-Propolis-Engineered Collagen Peptides as Promising Wound-Healing Matrix in Mouse Model","2022","Molecules","","10.3390/molecules27207090","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85140894995&origin=inward","Ya","2.75","1420-3049","27","20"
"8","6","A. Yazdanian","The effect of green synthesis of TiO2 nanoparticles/collagen/HA scaffold in bone regeneration: As an animal study","2023","Veterinary Medicine and Science","","10.1002/vms3.1222","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165513134&origin=inward","Parsial","2.00","2053-1095","9","5"
"9","5","M. Askari","Electrospun Propolis-coated PLGA Scaffold Enhances the Osteoinduction of Mesenchymal Stem Cells","2024","Current Stem Cell Research and Therapy","","10.2174/1574888X18666230330104314","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177549953&origin=inward","Ya","2.50","1574-888X","19","1"
"10","4","P.M. Pasca","The influence of propolis nanoparticles on dermal fibroblasts migration: Premises for development of propolis-based collagen dermal patches","2021","Digest Journal of Nanomaterials and Biostructures","","10.15251/djnb.2021.163.929","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114593478&origin=inward","Ya","0.80","1842-3582","16","3"
"11","2","R.E. Dos Reis","Experimental study of amniotic membrane or topical propolis on induced cutaneous wound healing in Wistar rats","2021","Acta Veterinaria Brasilica","","10.21708/AVB.2021.15.3.9991","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117489004&origin=inward","Ya","0.40","1981-5484","15","3"
"12","0","S.E. El-Habashy","3D-printed polysaccharide/collagen scaffolds co-integrated with carbon dots and propolis for infected wound healing","2025","Journal of Drug Delivery Science and Technology","","10.1016/j.jddst.2025.107424","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013550639&origin=inward","Ya","0.00","1773-2247","114",""
