"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","132","A. Dodero","Alginate-Based Electrospun Membranes Containing ZnO Nanoparticles as Potential Wound Healing Patches: Biological, Mechanical, and Physicochemical Characterization","2020","ACS Applied Materials and Interfaces","","10.1021/acsami.9b17597","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078080172&origin=inward","Ya","22.00","1944-8244","12","3"
"2","32","M. Pakizeh","Preparation and characterization of polyzwitterionic hydrogel coated polyamide-based mixed matrix membrane for heavy metal ions removal","2020","Journal of Applied Polymer Science","","10.1002/app.49595","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087463317&origin=inward","Ya","5.33","0021-8995","137","48"
"3","31","M. Plevová","Optimization of the membrane electrode assembly for an alkaline water electrolyser based on the catalyst-coated membrane","2022","Journal of Power Sources","","10.1016/j.jpowsour.2022.231476","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130172266&origin=inward","Ya","7.75","0378-7753","539",""
"4","29","H. Su","A Study of Combining Elastin in the Chitosan Electrospinning to Increase the Mechanical Strength and Bioactivity","2021","Marine Drugs","","10.3390/MD19030169","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103862281&origin=inward","Parsial","5.80","1660-3397","19","3"
"5","28","Y. Singh","Mitigation of Mechanical Membrane Degradation in Fuel Cells by Controlling Electrode Morphology: A 4D in Situ Structural Characterization","2021","Journal of the Electrochemical Society","","10.1149/1945-7111/abef87","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104366088&origin=inward","Ya","5.60","0013-4651","168","3"
"6","24","X. Shi","Physical, mechanical, and biological properties of collagen membranes for guided bone regeneration: a comparative in vitro study","2023","BMC Oral Health","","10.1186/s12903-023-03223-4","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165378501&origin=inward","Ya","8.00","1472-6831","23","1"
"7","24","G. Ren","Liquid water transport and mechanical performance of electrospun gas diffusion layers","2022","International Journal of Green Energy","","10.1080/15435075.2021.1941046","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108807444&origin=inward","Parsial","6.00","1543-5075","19","2"
"8","15","S. Han","Investigation of mechanical degradation in catalyst-coated reinforced membranes under in-situ hydrothermal cycles","2024","International Journal of Hydrogen Energy","","10.1016/j.ijhydene.2024.01.131","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183138617&origin=inward","Ya","7.50","0360-3199","58",""
"9","14","P. Pripatnanont","Physical and biological performances of a semi-resorbable barrier membrane based on silk fibroin-glycerol-fish collagen material for guided bone regeneration","2021","Journal of Biomaterials Applications","","10.1177/08853282211025781","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108381120&origin=inward","Ya","2.80","0885-3282","36","5"
"10","14","S. Bhattacharya","Isolated chemical degradation induced decay of mechanical membrane properties in fuel cells","2020","Electrochimica Acta","","10.1016/j.electacta.2020.136489","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085578648&origin=inward","Ya","2.33","0013-4686","352",""
"11","13","M.N. Chandraprabha","Biogenic Collagen-Nano ZnO Composite Membrane as Potential Wound Dressing Material: Structural Characterization, Antibacterial Studies and In Vivo Wound Healing Studies","2022","Journal of Inorganic and Organometallic Polymers and Materials","","10.1007/s10904-022-02351-8","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131547854&origin=inward","Ya","3.25","1574-1443","32","9"
"12","13","A.Y. Andreev","A new collagen scaffold for the improvement of corneal biomechanical properties in a rabbit model","2021","Experimental Eye Research","","10.1016/j.exer.2021.108580","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104788779&origin=inward","Ya","2.60","0014-4835","207",""
"13","10","A.B. Rosales","Minimizing bacterial adhesion on membrane: Multiscale characterization of surface modifications","2023","Journal of Membrane Science","","10.1016/j.memsci.2023.121867","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163177940&origin=inward","Ya","3.33","0376-7388","684",""
"14","10","J. Zheng","Blow-Spun Collagen Nanofibrous Spongy Membrane: Preparation and Characterization","2022","Tissue Engineering Part C Methods","","10.1089/ten.tec.2021.0210","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123611722&origin=inward","Ya","2.50","1937-3384","28","1"
"15","10","T.M. Hoa Bach","Characterization of collagenase found in the nonpathogenic bacterium Lysinibacillus sphaericus VN3","2020","Bioscience Biotechnology and Biochemistry","","10.1080/09168451.2020.1799748","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088995769&origin=inward","Ya","1.67","0916-8451","84","11"
"16","8","W. Zhang","Mechanically conditioned multilayered angle-ply collagen scaffolds promote annulus fibrosus regeneration","2023","Applied Materials Today","","10.1016/j.apmt.2023.101751","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148961007&origin=inward","Ya","2.67","2352-9407","31",""
"17","8","I. Nulens","Expanding the toolbox for microfluidic-based in situ membrane characterization via microscopy","2023","Journal of Membrane Science","","10.1016/j.memsci.2023.121897","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165598907&origin=inward","Ya","2.67","0376-7388","685",""
"18","7","Z. Ma","Shear Flow-Assembled Janus Membrane with Bifunctional Osteogenic and Antibacterial Effects for Guided Bone Regeneration","2024","ACS Biomaterials Science and Engineering","","10.1021/acsbiomaterials.4c00420","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192833354&origin=inward","Ya","3.50","2373-9878","10","6"
