"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","212","C.E.A. Botteon","Biosynthesis and characterization of gold nanoparticles using Brazilian red propolis and evaluation of its antimicrobial and anticancer activities","2021","Scientific Reports","","10.1038/s41598-021-81281-w","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099761142&origin=inward","Ya","42.40","2045-2322","11","1"
"2","171","A. Eskandarinia","A Novel Bilayer Wound Dressing Composed of a Dense Polyurethane/Propolis Membrane and a Biodegradable Polycaprolactone/Gelatin Nanofibrous Scaffold","2020","Scientific Reports","","10.1038/s41598-020-59931-2","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079796213&origin=inward","Parsial","28.50","2045-2322","10","1"
"3","148","E. Forma","Anticancer activity of propolis and its compounds","2021","Nutrients","","10.3390/nu13082594","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111335160&origin=inward","Ya","29.60","2072-6643","13","8"
"4","141","J.F. Rivero-Cruz","Phytochemical constituents, antioxidant, cytotoxic, and antimicrobial activities of the ethanolic extract of mexican brown propolis","2020","Antioxidants","","10.3390/antiox9010070","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079146858&origin=inward","Ya","23.50","2076-3921","9","1"
"5","132","A. Eskandarinia","A propolis enriched polyurethane-hyaluronic acid nanofibrous wound dressing with remarkable antibacterial and wound healing activities","2020","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2020.01.255","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078749918&origin=inward","Ya","22.00","0141-8130","149",""
"6","91","M. Shie Karizmeh","An in vitro and in vivo study of PCL/chitosan electrospun mat on polyurethane/propolis foam as a bilayer wound dressing","2022","Biomaterials Advances","","10.1016/j.msec.2022.112667","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130400895&origin=inward","Parsial","22.75","2772-9508","135",""
"7","73","M.G. Shehata","Chemical analysis, antioxidant, cytotoxic and antimicrobial properties of propolis from different geographic regions","2020","Annals of Agricultural Sciences","","10.1016/j.aoas.2020.12.001","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097914140&origin=inward","Ya","12.17","0570-1783","65","2"
"8","71","A. Magnavacca","The antiviral and immunomodulatory activities of propolis: An update and future perspectives for respiratory diseases","2022","Medicinal Research Reviews","","10.1002/med.21866","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118431334&origin=inward","Ya","17.75","0198-6325","42","2"
"9","63","D. Campoccia","Exploring the anticancer effects of standardized extracts of poplar-type propolis: In vitro cytotoxicity toward cancer and normal cell lines","2021","Biomedicine and Pharmacotherapy","","10.1016/j.biopha.2021.111895","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109088637&origin=inward","Parsial","12.60","0753-3322","141",""
"10","62","M. Surek","Chemical composition, cytotoxicity, and antibacterial activity of propolis from Africanized honeybees and three different Meliponini species","2021","Journal of Ethnopharmacology","","10.1016/j.jep.2020.113662","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099262274&origin=inward","Ya","12.40","0378-8741","269",""
