"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","212","L. Sbricoli","Selection of collagen membranes for bone regeneration: A literature review","2020","Materials","","10.3390/ma13030786","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward","Ya","35.33","1996-1944","13","3"
"2","200","P. Aprile","Membranes for Guided Bone Regeneration: A Road from Bench to Bedside","2020","Advanced Healthcare Materials","","10.1002/adhm.202000707","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089962887&origin=inward","Ya","33.33","2192-2640","9","19"
"3","173","H. Guo","A pure zinc membrane with degradability and osteogenesis promotion for guided bone regeneration: In vitro and in vivo studies","2020","Acta Biomaterialia","","10.1016/j.actbio.2020.02.024","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080955751&origin=inward","Ya","28.83","1742-7061","106",""
"4","160","Y. Xie","Titanium mesh for bone augmentation in oral implantology: current application and progress","2020","International Journal of Oral Science","","10.1038/s41368-020-00107-z","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098493986&origin=inward","Ya","26.67","1674-2818","12","1"
"5","153","Y. Ren","Barrier Membranes for Guided Bone Regeneration (GBR): A Focus on Recent Advances in Collagen Membranes","2022","International Journal of Molecular Sciences","","10.3390/ijms232314987","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143696085&origin=inward","Ya","38.25","1661-6596","23","23"
"6","130","N. Dubey","Highly tunable bioactive fiber-reinforced hydrogel for guided bone regeneration","2020","Acta Biomaterialia","","10.1016/j.actbio.2020.06.011","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087210304&origin=inward","Ya","21.67","1742-7061","113",""
"7","92","P. Rider","Biodegradable magnesium barrier membrane used for guided bone regeneration in dental surgery","2022","Bioactive Materials","","10.1016/j.bioactmat.2021.11.018","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120419419&origin=inward","Ya","23.00","2452-199X","14",""
"8","77","P. Li","Zinc based biodegradable metals for bone repair and regeneration: Bioactivity and molecular mechanisms","2024","Materials Today Bio","","10.1016/j.mtbio.2023.100932","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182516691&origin=inward","Parsial","38.50","2590-0064","25",""
"9","76","Z. Yang","Advances in Barrier Membranes for Guided Bone Regeneration Techniques","2022","Frontiers in Bioengineering and Biotechnology","","10.3389/fbioe.2022.921576","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133714951&origin=inward","Ya","19.00","2296-4185","10",""
"10","67","S.L. Bee","Asymmetric resorbable-based dental barrier membrane for periodontal guided tissue regeneration and guided bone regeneration: A review","2022","Journal of Biomedical Materials Research Part B Applied Biomaterials","","10.1002/jbm.b.35060","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126948564&origin=inward","Ya","16.75","1552-4973","110","9"
"11","58","Ž.P. Kačarević","Biodegradable magnesium fixation screw for barrier membranes used in guided bone regeneration","2022","Bioactive Materials","","10.1016/j.bioactmat.2021.10.036","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120857095&origin=inward","Ya","14.50","2452-199X","14",""
"12","54","S. Tamburaci","Development of Si doped nano hydroxyapatite reinforced bilayer chitosan nanocomposite barrier membranes for guided bone regeneration","2021","Materials Science and Engineering C","","10.1016/j.msec.2021.112298","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110218710&origin=inward","Ya","10.80","0928-4931","128",""
"13","50","M. Barbeck","Degradation, bone regeneration and tissue response of an innovative volume stable magnesium-supported GBR/GTR barrier membrane","2020","International Journal of Molecular Sciences","","10.3390/ijms21093098","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084832603&origin=inward","Ya","8.33","1661-6596","21","9"
"14","46","Y.K. Kim","Guided bone regeneration","2020","Journal of the Korean Association of Oral and Maxillofacial Surgeons","","10.5125/JKAOMS.2020.46.5.361","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096300958&origin=inward","Ya","7.67","2234-7550","46","5"
"15","45","K. Kim","Guided Bone Regeneration Using Barrier Membrane in Dental Applications","2023","ACS Biomaterials Science and Engineering","","10.1021/acsbiomaterials.3c00690","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171734032&origin=inward","Ya","15.00","2373-9878","9","10"
"16","44","S. Abtahi","Resorbable Membranes for Guided Bone Regeneration: Critical Features, Potentials, and Limitations","2023","ACS Materials Au","","10.1021/acsmaterialsau.3c00013","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164467801&origin=inward","Ya","14.67","2694-2461","3","5"
"17","44","J.R.H. Tay","Healing complications and their detrimental effects on bone gain in vertical-guided bone regeneration: A systematic review and meta-analysis","2022","Clinical Implant Dentistry and Related Research","","10.1111/cid.13057","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122963927&origin=inward","Ya","11.00","1523-0899","24","1"
"18","44","M. Fenelon","Assessment of fresh and preserved amniotic membrane for guided bone regeneration in mice","2020","Journal of Biomedical Materials Research Part A","","10.1002/jbm.a.36964","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084216655&origin=inward","Ya","7.33","1549-3296","108","10"
"19","43","S. Jin","Plant-Derived Polyphenol and LL-37 Peptide-Modified Nanofibrous Scaffolds for Promotion of Antibacterial Activity, Anti-Inflammation, and Type-H Vascularized Bone Regeneration","2023","ACS Applied Materials and Interfaces","","10.1021/acsami.2c20776","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85147555405&origin=inward","Ya","14.33","1944-8244","15","6"
"20","40","K. Chen","In vitro degradation, biocompatibility and antibacterial properties of pure zinc: assessing the potential of Zn as a guided bone regeneration membrane","2021","Journal of Materials Chemistry B","","10.1039/d1tb00596k","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111788668&origin=inward","Ya","8.00","2050-7518","9","25"
"21","36","D. Zhao","Electrophoretic deposition of novel semi-permeable coatings on 3D-printed Ti-Nb alloy meshes for guided alveolar bone regeneration","2022","Dental Materials","","10.1016/j.dental.2021.12.026","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122391515&origin=inward","Ya","9.00","0109-5641","38","2"
"22","36","Y. He","Fabrication of oxidized sodium alginate-collagen heterogeneous bilayer barrier membrane with osteogenesis-promoting ability","2022","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2021.12.155","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122814416&origin=inward","Ya","9.00","0141-8130","202",""
"23","36","F. Ejeian","ZIF-8 modified polypropylene membrane: A biomimetic cell culture platform with a view to the improvement of guided bone regeneration","2020","International Journal of Nanomedicine","","10.2147/IJN.S269169","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098142803&origin=inward","Ya","6.00","1176-9114","15",""
"24","35","P. Rider","Analysis of a Pure Magnesium Membrane Degradation Process and Its Functionality When Used in a Guided Bone Regeneration Model in Beagle Dogs","2022","Materials","","10.3390/ma15093106","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129067898&origin=inward","Ya","8.75","1996-1944","15","9"
"25","34","Y. Zhang","Janus porous polylactic acid membranes with versatile metal–phenolic interface for biomimetic periodontal bone regeneration","2023","Npj Regenerative Medicine","","10.1038/s41536-023-00305-3","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85160945090&origin=inward","Ya","11.33","2057-3995","8","1"
"26","33","K. Chen","Fabrication of a Nanoscale Magnesium/Copper Metal-Organic Framework on Zn-Based Guided Bone Generation Membranes for Enhancing Osteogenesis, Angiogenesis, and Bacteriostasis Properties","2024","ACS Applied Materials and Interfaces","","10.1021/acsami.3c16970","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184668874&origin=inward","Ya","16.50","1944-8244","16","5"
"27","33","K. Hayashi","Honeycomb scaffolds capable of achieving barrier membrane-free guided bone regeneration","2021","Materials Advances","","10.1039/d1ma00698c","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120639522&origin=inward","Ya","6.60","2633-5409","2","23"
"28","32","L. Song","Electrospun biodegradable nanofibers loaded with epigallocatechin gallate for guided bone regeneration","2022","Composites Part B Engineering","","10.1016/j.compositesb.2022.109920","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129102100&origin=inward","Ya","8.00","1359-8368","238",""
"29","32","L. Li","Assessment of Customized Alveolar Bone Augmentation Using Titanium Scaffolds vs Polyetheretherketone (PEEK) Scaffolds: A Comparative Study Based on 3D Printing Technology","2022","ACS Biomaterials Science and Engineering","","10.1021/acsbiomaterials.2c00060","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129526828&origin=inward","Ya","8.00","2373-9878","8","5"
"30","32","L. Chen","Collagen Membrane Derived from Fish Scales for Application in Bone Tissue Engineering","2022","Polymers","","10.3390/polym14132532","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132974023&origin=inward","Parsial","8.00","2073-4360","14","13"
