"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","212","L. Sbricoli","Selection of collagen membranes for bone regeneration: A literature review","2020","Materials","","10.3390/ma13030786","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward","Ya","35.33","1996-1944","13","3"
"2","153","Y. Ren","Barrier Membranes for Guided Bone Regeneration (GBR): A Focus on Recent Advances in Collagen Membranes","2022","International Journal of Molecular Sciences","","10.3390/ijms232314987","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143696085&origin=inward","Ya","38.25","1661-6596","23","23"
"3","92","P. Rider","Biodegradable magnesium barrier membrane used for guided bone regeneration in dental surgery","2022","Bioactive Materials","","10.1016/j.bioactmat.2021.11.018","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120419419&origin=inward","Parsial","23.00","2452-199X","14",""
"4","67","A. Cucchi","Vertical and horizontal ridge augmentation using customized CAD/CAM titanium mesh with versus without resorbable membranes. A randomized clinical trial","2021","Clinical Oral Implants Research","","10.1111/clr.13841","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116892854&origin=inward","Parsial","13.40","0905-7161","32","12"
"5","66","S. Li","Hard tissue stability after guided bone regeneration: a comparison between digital titanium mesh and resorbable membrane","2021","International Journal of Oral Science","","10.1038/s41368-021-00143-3","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119115924&origin=inward","Parsial","13.20","1674-2818","13","1"
"6","63","A.E. Lee","DPSC-Derived Extracellular Vesicles Promote Rat Jawbone Regeneration","2023","Journal of Dental Research","","10.1177/00220345221133716","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142117374&origin=inward","Parsial","21.00","0022-0345","102","3"
"7","63","S. Guo","Enhanced effects of electrospun collagen-chitosan nanofiber membranes on guided bone regeneration","2020","Journal of Biomaterials Science Polymer Edition","","10.1080/09205063.2019.1680927","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074904637&origin=inward","Ya","10.50","0920-5063","31","2"
"8","62","J. Li","Matrix stiffening by self-mineralizable guided bone regeneration","2021","Acta Biomaterialia","","10.1016/j.actbio.2021.02.012","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101126486&origin=inward","Parsial","12.40","1742-7061","125",""
"9","59","B. Allan","Collagen membrane for guided bone regeneration in dental and orthopedic applications","2021","Tissue Engineering Part A","","10.1089/ten.tea.2020.0140","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102879462&origin=inward","Ya","11.80","1937-3341","27","5"
"10","56","M. Atef","Horizontal ridge augmentation using native collagen membrane vs titanium mesh in atrophic maxillary ridges: Randomized clinical trial","2020","Clinical Implant Dentistry and Related Research","","10.1111/cid.12892","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081906786&origin=inward","Ya","9.33","1523-0899","22","2"
"11","55","M. Zhang","Effect of Different Membranes on Vertical Bone Regeneration: A Systematic Review and Network Meta-Analysis","2022","Biomed Research International","","10.1155/2022/7742687","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134910500&origin=inward","Parsial","13.75","2314-6133","2022",""
"12","52","C. Hwang","Tantalum-coated polylactic acid fibrous membranes for guided bone regeneration","2020","Materials Science and Engineering C","","10.1016/j.msec.2020.111112","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085611330&origin=inward","Parsial","8.67","0928-4931","115",""
"13","50","M. Barbeck","Degradation, bone regeneration and tissue response of an innovative volume stable magnesium-supported GBR/GTR barrier membrane","2020","International Journal of Molecular Sciences","","10.3390/ijms21093098","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084832603&origin=inward","Parsial","8.33","1661-6596","21","9"
"14","50","M. Toledano","Differential biodegradation kinetics of collagen membranes for bone regeneration","2020","Polymers","","10.3390/POLYM12061290","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087336546&origin=inward","Ya","8.33","2073-4360","12","6"
