"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"1","191","T. Wang","Engineering immunomodulatory and osteoinductive implant surfaces via mussel adhesion-mediated ion coordination and molecular clicking","2022","Nature Communications","","10.1038/s41467-021-27816-1","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122682064&origin=inward","Parsial","47.75","2041-1723","13","1"
"2","158","P. Jiang","Advanced surface engineering of titanium materials for biomedical applications: From static modification to dynamic responsive regulation","2023","Bioactive Materials","","10.1016/j.bioactmat.2023.03.006","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85150787865&origin=inward","Parsial","52.67","2452-199X","27",""
"3","152","H.F. Pereira","Scaffolds and coatings for bone regeneration","2020","Journal of Materials Science Materials in Medicine","","10.1007/s10856-020-06364-y","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080973427&origin=inward","Ya","25.33","0957-4530","31","3"
"4","125","J. Yan","pH-responsive silk fibroin-based CuO/Ag micro/nano coating endows polyetheretherketone with synergistic antibacterial ability, osteogenesis, and angiogenesis","2020","Acta Biomaterialia","","10.1016/j.actbio.2020.07.062","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089827764&origin=inward","Ya","20.83","1742-7061","115",""
"5","119","Y. Zheng","A programmed surface on polyetheretherketone for sequentially dictating osteoimmunomodulation and bone regeneration to achieve ameliorative osseointegration under osteoporotic conditions","2022","Bioactive Materials","","10.1016/j.bioactmat.2022.01.042","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123854078&origin=inward","Parsial","29.75","2452-199X","14",""
"6","118","F. Batool","Modulation of immune-inflammatory responses through surface modifications of biomaterials to promote bone healing and regeneration","2021","Journal of Tissue Engineering","","10.1177/20417314211041428","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117940235&origin=inward","Ya","23.60","2041-7314","12",""
"7","117","L. Yang","A tailored extracellular matrix (ECM) - Mimetic coating for cardiovascular stents by stepwise assembly of hyaluronic acid and recombinant human type III collagen","2021","Biomaterials","","10.1016/j.biomaterials.2021.121055","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111883676&origin=inward","Parsial","23.40","0142-9612","276",""
"8","115","M.N. Sarian","Potential bioactive coating system for high-performance absorbable magnesium bone implants","2022","Bioactive Materials","","10.1016/j.bioactmat.2021.10.034","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119203741&origin=inward","Ya","28.75","2452-199X","12",""
"9","108","M. Shimabukuro","Antibacterial property and biocompatibility of silver, copper, and zinc in titanium dioxide layers incorporated by one-step micro-arc oxidation: A review","2020","Antibiotics","","10.3390/antibiotics9100716","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85093931890&origin=inward","Parsial","18.00","2079-6382","9","10"
"10","107","K.D. Patel","Coating biopolymer nanofibers with carbon nanotubes accelerates tissue healing and bone regeneration through orchestrated cell- and tissue-regulatory responses","2020","Acta Biomaterialia","","10.1016/j.actbio.2020.03.012","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081976561&origin=inward","Ya","17.83","1742-7061","108",""
