Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Bingqing Shi, Yuming Zhao, Xiaojing Yuan","Effects of MTA and Brazilian propolis on the biological properties of dental pulp cells",2020,"Brazilian oral research","","","",112,"2026-01-24 10:13:04","Comparative Study","10.1590/1807-3107bor-2019.vol33.0117","1807-3107",,33,,,,0,0.00,0,3,6,"The aim of this study was to evaluate the effect of mineral trioxide aggregate (MTA) and Brazilian propolis on the cell viability, mineralization, anti-inflammatory ability, and migration of human dental pulp cells (hDPCs). The cell viability was evaluated with CCK-8 kit after 1, 5, 7, and 9 days. The deposition of calcified matrix and the expression of osteogenesis-related genes were evaluated by Alizarin Red staining and real-time PCR after incubation in osteogenic medium for 21 days. The expression of inflammation-related genes in cells was determined after exposure to 1 μg/mL LPS for 3 h. Finally, the numbers of cells that migrated through the permeable membranes were compared during 15 h. Propolis and MTA significantly increased the viability of hDPCscompared to the control group on days 7 and 9. In the propolis group, significant enhancement of osteogenic potential and suppressed expression of IL-1β and IL-6 was observed after LPS exposure compared to the MTA and control groups. The number of migration cells in the propolis group was similar to that of the control group, while MTA significantly promoted cell migration. Propolis showed comparable cell viability to that of MTA and exhibited significantly higher anti-inflammatory and mineralization promotion effects on hDPCs.","",""
0,"Shubham Singh, Satendra Kumar Nirala, Prashant Singh, Monika Bhadauria","Propolis ameliorates thioacetamide induced hepatic fibrosis in rats: an in vivo and in silico approach",2026,"Drug and chemical toxicology","","","",1,"2026-01-24 10:13:04","Journal Article","10.1080/01480545.2025.2608785","1525-6014",,,,1,15,0,0.00,0,4,1,"Propolis or bee glue is a resinous mixture with several biological properties, which is collected by honey bees from flowers and plants sap. The current study was carried out to ascertain whether propolis provides defence against thioacetamide induced hepatic fibrosis. Wistar rats were randomly assigned into six groups having six animals in every group. Thioacetamide (200 mg/kg) was administered orally three times per week, whereas propolis at three different doses (100, 150 and 200 mg/kg) was administered three times per week alternatively to thioacetamide for continuous eight weeks. Hematology, serology, tissue biochemistry, and histology were carried out to assess thioacetamide induced fibrosis and hepatic injury as well as recovery pattern due to propolis. Five major compounds present in propolis were subjected to molecular docking analysis. Propolis decreased serological activity of AST, ALT, ALP, γ-GT, cholesterol, HDL, TG, bilirubin, triglycerides and increased level of albumin, glucose, and LDL. Propolis protected tissues from oxidative stress induced by thioacetamide in terms of LPO. Hydroxyproline, a marker of liver fibrosis was restored by propolis treatment toward control. Level of SOD, catalase, GSH, GR, GPx, GST, G6PDH in liver were upshifted in propolis treated groups. Molecular docking analysis interpreted interaction of phytochemicals present in propolis in ameliorating effects and role in preventing liver fibrosis. In vivo and in silico analysis concluded that propolis has hepatoprotective activity by reducing thioacetamide induced liver fibrosis in rats.","",""
0,"Ahmed A Rawwash, Emad Ahmed Fathy Hussein, Omar Mohammad Atta","Bee Products and Traditional Plant Therapies for Wound Care: a comprehensive review of scientific evidence and clinical applications",2025,"Journal of pharmacopuncture","","","",2,"2026-01-24 10:13:04","Journal Article","10.3831/KPI.2025.28.4.255","2093-6966",,28,4,255,268,0,0.00,0,3,1,"Natural substances with healing properties, especially medicinal plants and bee-derived products, have been integral to traditional medicine systems for centuries, contributing significantly to wound care. Their value lies in both their pharmacological roots and well-documented biological activities, including infection control, inflammation reduction, antioxidative protection, and tissue regeneration. This review highlights the scientific evidence supporting the efficacy of bee products and plant-based therapies in wound care, assessing their chemical composition, biological properties, and mechanisms of action. A wide range of medicinal plants and bee products are examined for their recognized therapeutic roles, with emphasis on their ability to prevent infection, modulate inflammation, counter oxidative stress, and promote healing. The review also considers complementary plant therapies that may enhance the effects of bee-derived substances. Evidence from experimental and clinical studies demonstrates that natural products such as honey and propolis can effectively treat chronic wounds, including diabetic foot ulcers, by supporting tissue repair and preventing complications. This review affirms the therapeutic potential of bee products and medicinal plants and supports their integration into modern wound management protocols, which are increasingly being validated through scientific and clinical research.","",""
0,"Haruta Koga, Takanori Nishimura, Ken Kobayashi","Effects of Brazilian green propolis and artepillin C on collagen metabolism and fibroblast behaviors: Implications for skin wound healing",2026,"Phytomedicine : international journal of phytotherapy and phytopharmacology","","","",3,"2026-01-24 10:13:04","Journal Article","10.1016/j.phymed.2025.157624","1618-095X",,150,,157624,,0,0.00,0,3,1,"Propolis is a natural product from honeybee hives traditionally utilized in complementary medicine for the treatment of skin wounds and ulcers. Although the efficacy in skin wound healing has been documented, the specific mechanisms underlying its therapeutic effects remain unclear. This study aimed to elucidate the mechanisms by which propolis facilitates wound healing and improves ulcer treatment. Specifically, we investigated the impact of Brazilian green propolis and its primary bioactive compound, artepillin C (ARC), on cell behavior and collagen metabolism in human dermal fibroblasts. In vitro culture models were used to evaluate the effects of propolis and ARC on fibroblast proliferation, migration, differentiation into myofibroblasts, collagen fibril formation, and collagen gel contraction. Treatment with propolis increased extracellular deposition of type I and V collagen while reducing extracellular type III collagen, without affecting collagen mRNA expressions or Smad2 activation, a critical transcription factor known to regulate collagen synthesis. Additionally, propolis reduced the levels of matrix metalloproteinase (MMP)-2 and MMP-9, enzymes for collagen degradation, and simultaneously elevated tissue inhibitor of metalloproteinase (TIMP)-2, which inhibits MMPs activity. Propolis treatment also restricted collagen gel contraction, fibroblast migration, and differentiation into myofibroblasts. Furthermore, propolis suppressed the activation of signaling pathways involving Akt, NF-κB, p38, and ERK, known regulators of collagen metabolism and apoptosis resistance. Some of these biological effects of propolis were replicated by ARC. Our findings suggest that Brazilian green propolis and ARC facilitate wound healing and may enhance ulcer treatment by modulating collagen metabolism and regulating fibroblast behavior.","",""
0,"Paulina Kazimierczak, Marwa Balaha, Krzysztof Palka, Joanna Wessely-Szponder, Michal Wojcik, Viviana di Giacomo, Barbara De Filippis, Agata Przekora","Macroporous Hydroxyapatite-Based Bone Scaffolds Loaded with CAPE Derivatives: A Strategy to Reduce Oxidative Stress and Biofilm Formation",2025,"Materials (Basel, Switzerland)","","","",4,"2026-01-24 10:13:04","Journal Article","10.3390/ma18225074","1996-1944",,18,22,,,0,0.00,0,8,1,"Caffeic acid phenethyl ester (CAPE), a polyphenol from propolis, is well recognized for its anti-inflammatory, antioxidant, antimicrobial, and osteogenic properties. This study aimed to develop macroporous bone scaffolds composed of a chitosan/agarose matrix reinforced with nanohydroxyapatite and enriched with stable CAPE derivatives to enhance their biomedical potential for applications in bone tissue engineering and regenerative medicine. A comprehensive evaluation of microstructural and biological properties of the produced scaffolds was conducted. The fabricated scaffolds exhibited high porosity (49-60%) with interconnected pores and compressive strength (1.2-1.8 MPa), closely resembling cancellous bone and indicating suitability for bone regeneration. They were biocompatible, promoted osteoblast adhesion, proliferation, and differentiation, and supported apatite deposition on their surfaces, demonstrating strong bioactivity and potential for implant osseointegration. Importantly, the scaffolds did not trigger excessive production of reactive oxygen or nitrogen species, suggesting a low risk of inflammatory responses. Additionally, CAPE-enriched scaffolds inhibited biofilm formation by Staphylococcus aureus and Staphylococcus epidermidis, reducing the risk of implant-associated infections. In summary, these CAPE-modified scaffolds integrate optimal microstructural and biological features, such as reducing oxidative stress and inhibiting biofilm formation, and thus offer a promising strategy for enhancing bone repair and regeneration in clinical applications.","",""
0,"Zeinab Gholami, Mohammad Reza Maracy, Mohammad Reza Abbaspoor, Zamzam Paknahad","Effects of Propolis Supplementation on Metabolic Syndrome Indices, Isfahan, Iran, 2023: A Randomized Controlled Clinical Trial",2025,"Health science reports","","","",5,"2026-01-24 10:13:04","Journal Article","10.1002/hsr2.71499","2398-8835",,8,11,,,0,0.00,0,4,1,"Propolis is a resinous substance collected from plant buds and secretions by bees, possesses numerous medicinal and biological properties, including immune modulation, anticancer effects, antimicrobial activity, anti-inflammatory properties, and antioxidant properties. This study aims to examine the effect of the propolis on metabolic syndrome (MetS) indices among patients with MetS. This study as a randomized controlled clinical trial (RCT), was conducted on patients with MetS who were referred to the Hazrat Ali Health Center in Isfahan. Fifty six eligible patients were classified into two groups. including MIND (The Mediterranean-DASH Intervention for Neurodegenerative Delay) diet + placebo and MIND diet + propolis. We evaluated the MetS indices (Fasting Blood Sugar (FBS), waist circumference (WC), systolic blood pressure (SBP), diastolic blood pressure (DBP), triglyceride (TG), and high-density lipoprotein cholesterol (HDL-C)). We used the Shapiro-Wilk test to determine if the distribution of quantitative variables was normal. Quantitative variables were presented as either the mean with standard deviation (SD). MIND + propolis group compared to MIND group showed nonsignificant decrease about body mass index (BMI) after adjusting variables 0.9 times (10%), 0.8 times (20%), respectively, and also showed nonsignificant decrease about TG by 0.9 times (10%), and also nonsignificant increase about WC and mean arterial pressure (MAP = [SBP + 2DBP]/3) by 1.03 times (3%) and 1.3 times (30%), respectively, and HDL-C significant increased by 12.8 times.Registration: The current study's procedure received approval from the Iranian Registry of Clinical Trials (www.irct.ir) on 3/28/2023, with the registration reference IRCT20230105057054N1. MIND + propolis group compared to MIND group showed significant increase HDL-C. therefore; propolis increase significantly HDL-C.","",""
0,"Yihua Zhang, Shuo Ding, Wenjing Li, Xiumei Wang, Jie Lv, Qingmei Niu, Qian Zhang","Propolis effects on blood sugar and lipid metabolism, inflammatory indicators, and oxidative stress in people with type 2 diabetes: a systematic review and meta-analysis",2025,"Frontiers in nutrition","","","",6,"2026-01-24 10:13:04","Journal Article","10.3389/fnut.2025.1653730","2296-861X",,12,,1653730,,0,0.00,0,7,1,"Type 2 Diabetes Mellitus (T2DM) poses a significant global health challenge. Propolis, a natural bioactive compound, is proposed to modulate glucose and lipid metabolism and exert anti-inflammatory effects. However, previous reviews have limited scope, and the effects of propolis on T2DM remain debated, particularly concerning lipid profiles, glycemic control, inflammation, and oxidative stress. A systematic search was conducted across Chinese National Knowledge Infrastructure (CNKI), VIP, SinoMed, Wanfang Data, PubMed, Cochrane Library, Embase, Scopus, and Web of Science, with the search time limit set from the establishment of the databases to 20 May 2025. Study quality was assessed using the Cochrane Risk of Bias Assessment Tool version 2 (ROB 2); evidence quality was evaluated via the Grading of Recommendations, Assessment, Development, and Evaluation (GRADE) approach; and meta-analysis was performed using RevMan 5.4. In total, 12 randomized controlled trials (RCTs) with 731 participants were included in this study. Propolis supplementation significantly increased high-density lipoprotein cholesterol (HDL-C) levels (mean difference (MD) = 0.13, 95% CI 0.10-0.16, p < 0.00001), and reduced low-density lipoprotein cholesterol (LDL-C) (MD = -0.32, 95% CI: -0.56 to -0.08; p = 0.009) and triglyceride (TG) levels (MD = -0.15, 95% CI: -0.30 to -0.01; p = 0.04). It also improved glycemic control, lowering fasting blood sugar (FBS) (MD = -1.13, 95% CI: -2.00 to -0.27, p = 0.01), homeostasis model assessment of insulin resistance (HOMA-IR) (MD = -0.95, 95% CI: -1.36 to -0.55, p < 0.00001), and glycosylated hemoglobin (HbA1c) (MD = -0.44, 95% CI: -0.78 to -0.11, p = 0.01). Furthermore, propolis significantly reduced C-reactive protein (CRP) (MD = -2.68, 95% CI: -3.48 to -1.89, p < 0.00001). However, no significant effects were observed for total cholesterol (TC), tumor necrosis factor-alpha (TNF-α), interleukin-6 (IL-6), superoxide dismutase (SOD), or malondialdehyde (MDA). Propolis may improve lipid and glucose profiles and reduce inflammation in T2DM. While current evidence does not confirm significant effects on oxidative stress markers, considering the limitations of existing clinical studies and positive basic research findings, its potential antioxidant effects require validation through high-quality RCTs. This study was registered with PROSPERO (registration number: CRD42024577722) https://www.crd.york.ac.uk/PROSPERO/#loginpage.","",""
0,"Benhur Judah Cury, Heloizy de Fátima Teixeira de Silva, Luiza Pereira Makowieski, Daniele Teixeira Jerônimo, Levy Mota da Silva, Thiago Farias de Queiroz E Silva, Bruna Longo, Marcos Rizzon Santos, Alexandre Bella-Cruz, Jairo Kenupp Bastos, Mario Ferreira Conceição Santos, Luisa Mota da Silva","Uncovering the gastroprotective properties of araucaria brown propolis and its active compound, abietic acid",2025,"Naunyn-Schmiedeberg's archives of pharmacology","","","",7,"2026-01-24 10:13:04","Journal Article","10.1007/s00210-025-04597-8","1432-1912",,,,,,0,0.00,0,12,1,"Although Araucaria brown propolis is a singular propolis with potential therapeutic applications, its anti-ulcer activity remains unexplored. This study investigated the gastroprotective effects of Araucaria brown propolis hydroalcoholic extract (HeBPA, 30- 300 mg/kg and its isolated compound, abietic acid (AA) in corresponding doses to its content in HEBPA. The extract's anti-ulcer activity was evaluated using acidified ethanol-induced gastric ulcers and pylorus ligation to assess gastric antisecretory activity. Additionally, the study examined histological, oxidative, and inflammatory parameters, and the extract's anti-Helicobacter pylori and cytotoxic effects. The 100 mg/kg oral dose of HeBPA promoted gastroprotection by 69.63% by increasing antioxidant defenses (GSH, CAT, and SOD) and reducing MPO activity and MDA levels in ulcerated mucosa. This gastroprotective effect was not due to antisecretory activity, but rather involved non-protein sulfhydryl compounds, alpha-2 adrenergic receptors, prostaglandins, and nitric oxide, as evidenced by the abolition of the effect with L-NAME, NEM, indomethacin, or yohimbine pre-treatment. HeBPA increased mucin stained by PAS in the gastric mucosa and prevented histological damage, reducing edema and inflammatory infiltrate. Additionally, HeBPA promoted fibroblast proliferation at 1 µg/mL, but showed no antibacterial activity against H. pylori (MIC > 1000 µg/mL). In addition, AA at 17 mg/kg reduced by 44.82% the ethanol induced- ulcers. These findings contribute to validate the anti-ulcer effect of Brazilian Araucaria brown propolis, highlighting its potential as a natural resource for developing new gastric ulcer treatments. Notably, AA does appear to be a key bioactive compound responsible for this effect.","",""
0,"July Alexandra Hernandez-Lopez, Brandhon Francisco Flores-Ibarra, Eduart Gutierrez-Pineda, Sergio E Moya, Guillermo Salamanca Grosso, Cristian C Villa","Characterization of propolis extracts from the Tolima region in Colombia: a study of their composition, antimicrobial activity, and cytotoxicity",2026,"Journal of the science of food and agriculture","","","",8,"2026-01-24 10:13:04","Journal Article","10.1002/jsfa.70223","1097-0010",,106,2,954,960,0,0.00,0,6,1,"Propolis is a complex resinous material collected by bees from plant sources and known for its rich content in bioactive phenolic compounds, including flavonoids and aromatic acids. Its chemical composition and biological activity are highly influenced by the botanical and environmental conditions surrounding the beehives. In Colombia, limited studies have addressed the chemical diversity and therapeutic potential of propolis from regions with high altitudinal variation such as Tolima. In this study, three propolis ethanolic extracts (PrEE1, PrEE2, PrEE3) were obtained from hives located at different altitudes in Tolima, Colombia (1250, 1100, and 900 m above sea level (a.s.l.), respectively). Samples were analyzed for total phenolic content (TPC), total flavonoid content (TFC), antioxidant capacity (DPPH, ABTS, FRAP), antimicrobial activity (disk diffusion and minimum inhibitory concentration), and cytotoxicity in A549, WI-38 and NIH-3 T3 cell lines. Ultrahigh-performance liquid chromatography-mass spectrometry (UHPLC-MS) analysis revealed a distinct phytochemical profile for each extract. PrEE1 had the highest TPC (130.2 g GAE kg-1) and TFC (6.70 g QE kg-1), and strong antioxidant activity with DPPH scavenging of 89.2%. It also exhibited potent antimicrobial activity against Staphylococcus aureus and Candida albicans, and selective cytotoxicity toward A549 lung cancer cells. In contrast, PrEE3 had lower phenolic content but contained unique polyprenylated benzophenones. The results indicate that altitude significantly influences the chemical and biological properties of Colombian propolis. Propolis from higher altitudes, such as PrEE1, is a promising natural source of multifunctional bioactive compounds with antioxidant, antimicrobial, and anticancer potential for pharmaceutical and nutraceutical applications. © 2025 Society of Chemical Industry.","",""
0,"Agnieszka Grinn-Gofroń, Maciej Kołodziejczak, Rafał Hrynkiewicz, Filip Lewandowski, Dominika Bębnowska, Cezary Adamski, Paulina Niedźwiedzka-Rystwej","Antimicrobial Potential of Bee-Derived Products: Insights into Honey, Propolis and Bee Venom",2025,"Pathogens (Basel, Switzerland)","","","",9,"2026-01-24 10:13:04","Journal Article","10.3390/pathogens14080780","2076-0817",,14,8,,,0,0.00,0,7,1,"Bee products, in particular honey, propolis and bee venom, are of growing scientific interest due to their broad spectrum of antimicrobial activity. In the face of increasing antibiotic resistance and the limitations of conventional therapies, natural bee-derived substances offer a promising alternative or support for the treatment of infections. This paper summarizes the current state of knowledge on the chemical composition, biological properties and antimicrobial activity of key bee products. The main mechanisms of action of honey, propolis and bee venom are presented, and their potential applications in the prevention and treatment of bacterial, viral and fungal infections are discussed. Data on their synergy with conventional drugs and prospects for use in medicine and pharmacology are also included. The available findings suggest that, with appropriate standardization and further preclinical and clinical analyses, bee products could become an effective support for the treatment of infections, especially those caused by pathogens resistant to standard therapies.","",""
