Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Manqing Liu, Junmei Song, Deqian Tang, Tianyou Wang, Junbin Wei, Junda Li, Jiayun Xu, Yuming Xu, Qianmin Ou, Chunyu Zhang, Zhipeng Gu, Jinming Wang","Responsive Polyphenolic Coating Reduces the Risk of Peri-Implantitis Through Antibacterial Activity, Immunomodulation, and Enhanced Osseointegration",2026,"Advanced healthcare materials","","","",1,"2026-01-24 10:31:20","Journal Article","10.1002/adhm.202504797","2192-2659",,,,,,0,0.00,0,12,1,"Implant failure is primarily caused by infection and dysregulated immune responses, highlighting the need to develop implants with tissue-friendly properties. This study introduces a novel one-step strategy for applying a polyphenol-aminoglycoside (PA) coating on various implant substrates, including titanium, in a simple and efficient manner. The multifunctional PA coating can reduce implant failure through its strong antibacterial, immunomodulatory, and osteoinductive activities. By eliminating bacterial infection, promoting the M2 macrophage phenotype, and restoring oxidative balance, PA-coated implants create a favorable osteoimmune microenvironment that supports the osteogenic differentiation of bone marrow mesenchymal stem cells. Furthermore, the PA-coated implants exhibit potent osseointegration in vivo. Collectively, these findings indicate that surface modification with a PA coating represents a promising strategy to meet the clinical requirements of next-generation dental and orthopedic implants in complex clinical environments.","",""
0,"Hongxiang Wang, Kaiyuan Huo, Feijing Hao, Xingjie Zan, Guangyu Zhang, Na Li","One-pot integration of functional molecules into polyphenol-peptide supramolecular self-assembly coatings with diverse and customizable functionalities",2026,"Colloids and surfaces. B, Biointerfaces","","","",2,"2026-01-24 10:31:20","Journal Article","10.1016/j.colsurfb.2025.115361","1873-4367",,259,,115361,,0,0.00,0,6,1,"The customizability of coating functionalities is essential for the diverse applications of modern medical devices. Supramolecular self-assembled (SSA) coatings provide distinct advantages over traditional chemically modified coatings but are often hindered by challenges in functionalization. Here, we present a novel, simple, and effective strategy for functionalizing SSA coatings composed of hexameric arginine (Arg6) and tannic acid (TA) through the incorporation of functional molecules. By exploiting the abundant phenolic hydroxyl interactions in TA, various functional molecules are employed and seamlessly integrated into Arg6-TA SSA coatings via a one-pot method, yielding highly customizable functionalities, including antifouling (via hydrogen bonding with PEG), enhanced cell adhesion (via π-π stacking with cRGD), improved bone differentiation (via coordination to Sr2 + ion), and antimicrobial activity (via electrostatic interactions with TOB). The underlying interaction mechanisms were thoroughly investigated, and the functional properties and stability of the coatings were validated. This approach provides a promising pathway for expanding the application of SSA coatings and advancing functionalization techniques.","",""
0,"Xiang Han, WanMing Lin","Construction and antibacterial performance study of strontium-doped TiO2coatings with photothermal-chemical synergistic antimicrobial properties",2025,"Biomedical materials (Bristol, England)","","","",3,"2026-01-24 10:31:20","Journal Article","10.1088/1748-605X/ae1777","1748-605X",,20,6,,,0,0.00,0,2,1,"The inert surface of titanium (Ti) leads to inadequate osseointegration and bacterial infection, which are critical factors contributing to the failure of Ti implants. Micro-arc oxidation (MAO) technology enables the formation of a biocompatible porous TiO2coating on Ti surfaces, offering advantages such as a simple fabrication process, strong adhesion to the substrate, and the ability to incorporate functional ions (e.g. Ag+, Cu2+, Sr2+). This modification significantly enhances cellular adhesion and osteogenic activity. However, the TiO2produced via MAO exhibits a wide bandgap (3.2 eV), responding primarily to ultraviolet light, which results in low photothermal conversion efficiency in the near-infrared (NIR) region with greater tissue penetration, thereby limiting its application in photothermal therapy (PTT). This study was based on Sr2+-doped TiO2coating, and its NIR photothermal efficiency was improved through surface modification with a metal-polyphenol network (MPN). Additionally,ϵ-poly-L-lysine (EPL) antimicrobial peptides were grafted onto the surface to establish a synergistic photothermal-chemical antibacterial system. Experimental results demonstrated that the TiO2-MPN-EPL composite coating exhibited high-efficiency photothermal conversion under 808 nm laser irradiation, with the synergistic action of EPL providing targeted membrane disruption of bacteria. This system achieved a high bactericidal rate againstStaphylococcus aureusandEscherichia coliwhile mitigating the thermal damage risks associated with standalone PTT. Furthermore, it promoted the proliferation of MC3T3-E1 osteoblasts.","",""
0,"Zhi-Yan Zhou, Zhi-Bang Li, Ni-Shan Shi, Su-Su Feng, Ya-Ru Han, Mei-Tong Liu, Hao Chen, Jian-Hua Li, Shao-Hua Ge, Yang Yu","Metal-polyphenol network-engineered mesenchymal stem cell-derived exosome mimetics mediate inflammatory/immune regulation for enhanced periodontal tissue regeneration",2026,"Biomaterials","","","",4,"2026-01-24 10:31:20","Journal Article","10.1016/j.biomaterials.2025.123696","1878-5905",,327,,123696,,0,0.00,0,10,1,"Exosomes represent a promising therapeutic strategy in regenerative medicine; however, challenges such as unscalable production and poor tolerance to pathological host microenvironments impede their clinical translation. To address these limitations, this study developed bone marrow mesenchymal stem cell (BMSC)-derived exosome mimetics (EMs), produced through an optimized extrusion methodology, which enhanced production yield while preserving the core morphology and structure of natural exosomes with augmented functionality in key biological processes. Furthermore, these EMs are coated with a tannic acid (TA)/Fe3+ coordination network that acts as a protective barrier with antioxidative and antibacterial properties. This coating enables EMs to promote stem cell proliferation, migration, osteogenesis, and immunomodulation under inflammatory and oxidative stress conditions. In vivo, the local injection of EM@[TA-Fe3+] effectively suppressed periodontal inflammation and promoted alveolar bone regeneration. These findings advance our understanding of the structural and functional characteristics of EMs and present an efficient strategy for their delivery in bone regeneration especially under inflammatory and/or infectious conditions.","",""
0,"Jintao Li, Haolin Ke, Dianxuan Wu, Yan Shao, Zhicheng Wen, Shaozi Zhong, Xiangcheng Lei, Jihua Li, Denghui Xie, Chun Zeng","Bilayer book- like decellularized extracellular matrix scaffold with bioactive coatings for rotator cuff repair",2025,"Materials today. Bio","","","",5,"2026-01-24 10:31:20","Journal Article","10.1016/j.mtbio.2025.102038","2590-0064",,33,,102038,,0,0.00,0,10,1,"Repairing the tendon-bone interface after rotator cuff injury and regulating the local immune microenvironment present significant clinical challenges, necessitating the development of bioactive materials capable of simultaneous interface repair and inflammation modulation. In this study, we developed a book-like scaffold (dtECM-TAZn/Mg) with bilayers of bioactive coatings to target the bone microenvironment and promote rotator cuff repair. Fabricated from decellularized tendon extracellular matrix (dtECM) to preserve native collagen fiber alignment, the scaffold underwent covalent cross-linking of a tannic acid (TA) coating onto its surface. Subsequent incorporation of Zn2+ and Mg2+ ions established bioactive coatings via metal-phenol coordination bonds formed through polyphenol-metal ion self-assembly and π-π interactions between phenolic molecules. The dtECM-TAZn/Mg scaffold promoted subchondral bone regeneration at the tendon-bone interface via Zn2+ release, thereby enhancing structural repair. Concurrently, the synergistic release of TA and Mg2+ scavenges reactive oxygen species (ROS) and polarizes macrophages toward the anti-inflammatory M2 phenotype, effectively modulating the local bone microenvironment. This book-like scaffold with dual-layer bioactive coatings for targeted regulation effectively promoted the repair of the tendon-bone interface in rotator cuff injuries.","",""
0,"Gang Huang, Fei Liu, Weiyong Xie, Xiang Li, Yangyue Zheng, Li Yang, Zhiyan Li, Yue He, Kelie Wang","Acid-degradable drug-loaded MOF with bionic coating for synergistic osteoarthritis treatment via lubrication and anti-inflammation",2025,"Colloids and surfaces. B, Biointerfaces","","","",6,"2026-01-24 10:31:20","Journal Article","10.1016/j.colsurfb.2025.114931","1873-4367",,255,,114931,,0,0.00,0,9,1,"The degenerative bone and joint disease known as osteoarthritis (OA) is typified by the wear and degeneration of cartilage, which lowers joint lubrication, intensifies the inflammatory response, and ultimately leads to an imbalance in the joint bone microenvironment, accelerating the progression of OA. In this work, a multifunctional particle (P/H-Res@Cu MOF) was created to encourage the remodeling of articular bone microenvironment by coating the surface of Cu metal-organic framework (MOF) supported by resveratrol (Res) with polyvinyl alcohol (PVA) and chitosan quaternary ammonium salt (HACC). Because of its excellent lubricating properties, the PVA/HACC coating efficiently reduces articular cartilage wear and friction while achieving the gradual release of Res@Cu MOF. In the meantime, P/H-Res@Cu MOF considerably lowers the inflammatory state of OA by releasing Res and Cu2 + to control inflammation in response to the acidic OA microenvironment. In addition, the released Res and Cu2+ play a synergistic role by forming metal polyphenol chelates, significantly improving the antioxidant capacity. P/H-Res@Cu MOF was found to have a good anti-oxidation and inflammatory regulating activity by both in vitro and in vivo studies. By encouraging the polarization of M1 macrophages to M2 macrophages, P/H-Res@Cu MOF dramatically enhances the immunological milieu in the joint cavity and, ultimately, efficiently encourages the remodeling of the articular bone microenvironment. In conclusion, the creation of P/H-Res@Cu MOF offers a fresh method of postponing the OA process.","",""
0,"Meizhou Sun, Chi Xu, Ruonan Wu, Qian Yang, Xiaokang Ding, Nana Zhao, Wei Geng, Yujie Sun, Shun Duan, Fu-Jian Xu","Surface-Engineered Orthopedic Implant to Break the Antimicrobial-Osteogenic Paradox at Biointerfaces in the ""Race for the Surface""",2025,"Advanced materials (Deerfield Beach, Fla.)","","","",7,"2026-01-24 10:31:20","Journal Article","10.1002/adma.202506113","1521-4095",,37,37,,,0,0.00,0,10,1,"Implant-associated infections and compromised osseointegration pose a dual threat to bone implants due to the biological conflict between microbial invasion and host cell colonization. However, conventional contact-killing antimicrobial coatings may negatively affect the viability of mammalian cells, limiting their further application. Here, a surface modification strategy is proposed to help mammalian cells to win the ""race for the surface"" on the material-tissue interfaces. Through polyphenol-amine-mediated covalent modification, quaternary ammonium groups (bactericidal agents) and phosphate groups (promoting bone-regeneration factors) are spatially organized on titanium (Ti) surfaces to regulate the surface chemical characteristics of dental implants. The surface-engineered implants (Ti-AQs) exhibited balanced antibacterial and biocompatible properties. The optimized Ti-AQ-2 coating eradicated >99% of Staphylococcus aureus (S. aureus) and Escherichia coli (E. coli) via destruction of disrupted bacterial membranes through metabolic interference, and simultaneously promoted adhesion, proliferation and osteogenic differentiation of bone marrow mesenchymal stem cells through Ca2+-mediated signaling pathways. Moreover, Ti-AQs can drive immunomodulation biased macrophages toward pro-repair M2 polarization. In vivo evaluations in an implant-associated infection modal confirmed that Ti-AQ-2 inhibited infection at the early stage and enhanced bone-implant integration at the late stage. This work presents a facile strategy to regulate the surface performances for developing of antibacterial implants with high biocompatibility and bioactivity.","",""
0,"Shengyuan Pan, Yuyan Lan, Yi Yang, Yuhan Zhang, Simin Yu, Tao Wang, Yanlin Zhu, Sihan Yang, Xulei Yuan, Xiang Gao, Jinlin Song","Metal-Polyphenol Network Coated Bilirubin Nanoparticles for the Alleviation of Periodontitis via Mild Photothermal Therapy and Immunomodulatory Therapy",2025,"ACS nano","","","",8,"2026-01-24 10:31:20","Journal Article","10.1021/acsnano.5c05266","1936-086X",,19,26,23919,23944,0,0.00,0,11,1,"At present, the development of nanoplatforms that integrate infection control, inflammation resolution, and tissue repair for the treatment of periodontitis remains an enormous challenge. Based on the intricate pathogenesis of periodontitis and the advantages of mild photothermal therapy (PTT) and nanotherapy, a multifunctional photothermal nanoplatform (designated BR@C3G-Cu) was rationally developed by coating bilirubin nanoparticles (BR NPs) with copper ion coordinated cyanidin-3-O-glucoside metal-polyphenol networks (MPNs) in this study. The synergistic consequences of the photothermal conversion properties and metal-dependent functionality of this MPNs contributed to the effective and persistent elimination of periodontal pathogens under safe and mild conditions, meeting the heterogeneous antibacterial requirements of periodontitis. Further, photothermal BR@C3G-Cu NPs restored the macrophage polarization balance and mitigated periodontal inflammation by countering oxidative stress damage and blocking the cGAS-STING pathway, thereby normalizing the periodontal local osteoimmune microenvironment and promoting the osteogenic differentiation of in situ stem cells. BR@C3G-Cu NPs exposed to near-infrared irradiation also offered beneficial therapeutic outcomes in a mouse periodontitis model, including inhibiting alveolar bone resorption and promoting periodontal tissue remodeling. Overall, this work highlights the potential of MPN-coated engineered NPs (i.e., BR@C3G-Cu) for the treatment of periodontitis through the integration of mild PTT and immunomodulatory therapy to eliminate pathogenic bacteria, alleviate inflammation, and promote regeneration.","",""
0,"Meizhou Sun, Chi Xu, Ruonan Wu, Yiyan Ke, Xiaokang Ding, Nana Zhao, Wei Geng, Yujie Sun, Shun Duan, Fu-Jian Xu","Bioinspired Amine-Guided Polyphenol Coatings for Selective Bacterial Disruption and Osseointegration on Orthopedic Implants",2025,"Journal of the American Chemical Society","","","",9,"2026-01-24 10:31:20","Journal Article","10.1021/jacs.5c07074","1520-5126",,147,23,20144,20158,0,0.00,0,10,1,"Implant-related infections and inadequate osseointegration pose significant challenges in orthopedic surgery. However, current surface modification strategies are generally complex or necessitate harsh synthesis conditions, thereby limiting their versatility. We developed a facile, one-step method to fabricate a stable polyphenol-based coating on titanium using amine-directed self-polymerization. Amine forms covalent bonds with polyphenol, enhancing the coating stability, as confirmed by molecular dynamics simulations. This bioinspired coating eliminated over 90% of Staphylococcus aureus and Escherichia coli by disrupting bacterial chemotaxis and FTSI protein expression of the cell wall, thereby impairing bacterial respiration and interfering with proton and electron transfer in bacterial membranes, which could selectively eliminate pathogenic bacteria through a contact-killing mechanism without any negative effect on mammalian cells. It also promoted the growth and differentiation of bone mesenchymal cells via the Wnt/β-catenin pathway. Additionally, The bioinspired coating modulated macrophages toward a pro-repair M2 polarization. In cell-bacteria competitive coculture experiments, the coating exhibited superior antibacterial efficacy. In vivo studies demonstrate a 50% improvement in osseointegration in infected bone models. This approach is versatile and can be applied to various implant materials, offering a scalable solution for next-generation medical devices.","",""
0,"Fengzhen Jia, Xiaofeng Wang, Hui Su, Jiaxin Guan, Jiali Wang, Jiaqi Zheng, Lei Xie, Pengde Han, He Lin, Xiao Huang, Haixia Qiao, Yong Huang","Gelatin/chitosan coating-embedded ZIF-8@DFO on Zn-EGCG: An effective strategy for treating infected bone defects",2025,"International journal of biological macromolecules","","","",10,"2026-01-24 10:31:20","Journal Article","10.1016/j.ijbiomac.2025.144167","1879-0003",,313,,144167,,0,0.00,0,12,1,"Titanium-based bone defect repair often encounters problems such as bacterial infection and excessive inflammation. In this study, firstly, tea polyphenol and zinc ion (E-Zn) coatings were prepared on titanium surface. Subsequently, ZIF8@D (ZIF8 loaded with desferrioxamine) was loaded onto the E-Zn surface with the help of gelatin and chitosan (CG) to form an E-Zn/CG-ZIF8@D composite coating. The results demonstrated that the E-Zn/CG-ZIF8@D coating exhibited favorable hydrophilicity, corrosion resistance, and hemocompatible. In vitro, the coating boasted outstanding antimicrobial properties due to the antimicrobial effects of Zn2+ against E. coli and S. aureus. Leveraging the anti-inflammatory properties of Zn2+, the coating could modulate the polarization of macrophages (RAW264.7) to the M2 type. Thanks to the vascularization-inducing properties of desferrioxamine, the coating could prompt the vascularization of human umbilical vein endothelial cells (HUVEC). Relying on the osteogenic properties of Zn2+, the coating could drive the differentiation of preosteoblasts (MC3T3-E1) towards osteogenesis. In vivo experiments indicated that the E-Zn/CG-ZIF8@D manifested excellent anti-inflammatory, antibacterial, angiogenic, and bone repair capabilities. This surface engineering strategy is highly effective. It constructs favorable bone-implant interfaces. It does this by integrating multiple functions. As a result, the likelihood of implant failure is significantly reduced.","",""
