Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
171,"A. Eskandarinia","A Novel Bilayer Wound Dressing Composed of a Dense Polyurethane/Propolis Membrane and a Biodegradable Polycaprolactone/Gelatin Nanofibrous Scaffold",2020,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079796213&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079796213&origin=inward",1,"2026-01-24 10:32:03","Article","10.1038/s41598-020-59931-2","2045-2322",,10,1,,,171,28.50,171,1,6,"","",""
132,"A. Eskandarinia","A propolis enriched polyurethane-hyaluronic acid nanofibrous wound dressing with remarkable antibacterial and wound healing activities",2020,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078749918&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078749918&origin=inward",2,"2026-01-24 10:32:03","Article","10.1016/j.ijbiomac.2020.01.255","0141-8130",,149,,467,476,132,22.00,132,1,6,"","",""
27,"S.M. Doodmani","Electrospinning-netting of spider-inspired polycaprolactone/collagen nanofiber-nets incorporated with Propolis extract for enhanced wound healing applications",2024,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190319201&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190319201&origin=inward",4,"2026-01-24 10:32:03","Article","10.1016/j.ijbiomac.2024.131452","0141-8130",,267,,,,27,13.50,27,1,2,"","",""
17,"J. González-Masís","Increased fibroblast metabolic activity of collagen scaffolds via the addition of propolis nanoparticles",2020,"Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088498910&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088498910&origin=inward",5,"2026-01-24 10:32:03","Article","10.3390/ma13143118","1996-1944",,13,14,,,17,2.83,17,1,6,"","",""
15,"K.C. Loureiro","Antibacterial activity of chitosan/collagen membranes containing red propolis extract",2020,"Pharmazie","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082525422&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082525422&origin=inward",7,"2026-01-24 10:32:03","Article","10.1691/ph.2020.9050","0031-7144",,75,2,75,81,15,2.50,15,1,6,"","",""
13,"H. Zhao","“Jianbing” styling multifunctional electrospinning composite membranes for wound healing",2022,"Frontiers in Bioengineering and Biotechnology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85137815363&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137815363&origin=inward",8,"2026-01-24 10:32:03","Article","10.3389/fbioe.2022.943695","2296-4185",,10,,,,13,3.25,13,1,4,"","",""
11,"M. Somogyi Škoc","Development and Characterization of Sustainable Coatings on Cellulose Fabric and Nonwoven for Medical Applications",2024,"Sustainability Switzerland","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85183428671&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85183428671&origin=inward",10,"2026-01-24 10:32:03","Article","10.3390/su16020857","2071-1050",,16,2,,,11,5.50,11,1,2,"","",""
11,"H.I.M. Ibrahim","Honey-Propolis-Engineered Collagen Peptides as Promising Wound-Healing Matrix in Mouse Model",2022,"Molecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85140894995&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140894995&origin=inward",11,"2026-01-24 10:32:03","Article","10.3390/molecules27207090","1420-3049",,27,20,,,11,2.75,11,1,4,"","",""
9,"Y. Gruda","Characteristics of Clinically Classified Oral Lichen Planus in Optical Coherence Tomography: A Descriptive Case-Series Study",2023,"Diagnostics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168994981&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168994981&origin=inward",12,"2026-01-24 10:32:03","Article","10.3390/diagnostics13162642","2075-4418",,13,16,,,9,3.00,9,1,3,"","",""
6,"A. Yazdanian","The effect of green synthesis of TiO2 nanoparticles/collagen/HA scaffold in bone regeneration: As an animal study",2023,"Veterinary Medicine and Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165513134&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85165513134&origin=inward",13,"2026-01-24 10:32:03","Article","10.1002/vms3.1222","2053-1095",,9,5,2342,2351,6,2.00,6,1,3,"","",""
