Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Krasimir Chapanov, Daniela Stoeva, Aleksandar Naydenov","Dental Implant Treatment With Guided Bone Regeneration in a Patient With Active Crohn's Disease Under Long-Term Immunosuppressive and Anti-inflammatory Therapy",2025,"Cureus","","","",100,"2026-01-24 10:37:48","Case Reports","10.7759/cureus.83439","2168-8184",,17,5,,,0,0.00,0,3,1,"This report presents a case of dental implant treatment with guided bone regeneration in a 46-year-old patient with active Crohn's disease, who was undergoing long-term immunosuppressive therapy (azathioprine) and anti-inflammatory treatment (mesalazine). A titanium implant was placed six weeks after the extraction of tooth 22. Alveolar augmentation was performed using synthetic xenograft material in combination with a collagen membrane. Seven months later, a provisional restoration was delivered, followed by the placement of a definitive screw-retained crown 120 days afterward. No complications were reported throughout the treatment, and the patient consistently maintained excellent oral hygiene. This case underscores the feasibility of implant therapy in immunocompromised patients, despite longstanding concerns regarding the potential negative impact of immunosuppressive agents on bone metabolism and healing. Treatment success relied on a thorough medical history review, precise planning, minimally invasive surgical techniques, and the use of specific postoperative medications. Regular follow-up visits and diligent oral hygiene were also key to the favorable outcome. While this individual case was successful, further clinical studies are needed to establish comprehensive guidelines for implant treatment in patients with autoimmune conditions or organ transplants who are receiving immunosuppressive and systemic anti-inflammatory therapy.","",""
0,"Mucong Li, Xiuyu Liu, Jing Zhou, Jiaqian You, Sheng Chen, Jian Feng, Xuyan Wei, Hanchi Wang, Yanmin Zhou","GBR assisted in situ Onlay bone grafting for the posterior maxillary horizontal ridge augmentation: a case report and literature review",2024,"Frontiers in bioengineering and biotechnology","","","",125,"2026-01-24 10:37:48","Case Reports","10.3389/fbioe.2024.1535207","2296-4185",,12,,1535207,,0,0.00,0,9,2,"The posterior mandible is the primary area for occlusal function. However, long-term tooth loss in the posterior mandible often leads to rapid absorption of both buccal and lingual trabecular bone plates and subsequent atrophy of the alveolar ridge. This ultimately results in horizontal bone deficiencies that complicate achieving an optimal three-dimensional placement for dental implants. Conventional techniques employed clinically for horizontal bone augmentation have limited efficacy, cause significant surgical trauma, and require extended treatment duration. Consequently, the selection of an effective and minimally invasive bone augmentation technique for restoring bone width is an essential prerequisite for successful implant restoration in the posterior mandible. This clinical case study presented a treatment approach involving guided bone regeneration (GBR) and in situ Onlay grafting for bone level augmentation in the blade-shaped alveolar ridge of the posterior mandible, followed by implant restoration. By rotating the in situ sourced bone block, the denser bone volume at the base of the blade-shaped alveolar ridge was transferred to the crest of the alveolar ridge, obviating the necessity for a secondary operative site and mitigating complications such as pain, edema, sensory abnormalities, and nerve injury. Incorporation of trabecular bone within the recipient area enhanced fixation while augmenting vascular supply. A significant increase in bone volume by 1,628.21 mm3 was achieved within 7 months postoperatively. Overall, this novel approach offers valuable insights into minimally invasive and stable techniques for alveolar bone augmentation.","",""
0,"Domenico Sfondrini, Stefano Marelli, Rachele Patriarca, Andrea Scribante, Lorenzo Preda, Gabriele Savioli, Giorgio Novelli, Alessandro Bardazzi","Floor of the Mouth Hemorrhage Following Dental Implant Placement or Guided Bone Regeneration (GBR) in the Atrophic Interforaminal Mandible",2024,"Case reports in dentistry","","","",140,"2026-01-24 10:37:48","Case Reports","10.1155/crid/8413875","2090-6447",,2024,,8413875,,0,0.00,0,8,2,"The authors present two cases of mouth floor hemorrhage consequences of implant placement within the atrophic anterior mandible. In one patient, the implant placement was associated with the guided bone regeneration (GBR) technique. This serious complication has been widely described in the literature, especially in the anterior mandible area. In cases of bone resorption, the edentulous ridge becomes closer to the artery, and the risk of vessel injury increases. In both patients, the hematoma rapidly spread in the loose tissues of the mouth floor, displacing the tongue posteriorly and cranially, with airway compromise. The patients were hospitalized with nasotracheal intubation to secure the airway. In both patients, the bleeding stopped spontaneously, and after a few days, the oral floor swallowing was reduced, allowing the endotracheal tube to be removed. In about 2 weeks, the hematoma completely resorbed without surgery. According to the literature, the main cause of floor of the mouth hemorrhage is the mandibular lingual cortical plate perforation during bone drilling with subsequent sublingual-submental artery injury. In fact, in the first patient presented, this surgical error was clearly noticeable on the CT scan. Differently, in the second case reported, no radiological signs of inner cortical perforation were observed, and together with a mouth floor hematoma, a blood collection was also evident on the lower lip, suggesting a different cause of bleeding. Most likely during the periosteal release incision, mandatory in GBR technique, the ascending mental artery was injured, and hematoma spread in the mouth floor through the similar incision done on the lingual flap. Firstly, the mouth floor hemorrhage caused by an injury of a vestibular soft tissue artery during GBR surgery was reported. Strategies and recommendations to avoid this life-threatening event are provided, based on the literature review and the authors' experience.","",""
0,"Rossana Izzetti, Chiara Cinquini, Fortunato Alfonsi, Marco Nisi, Michele Covelli, Berta Garcia Mira, Mattia Priami, Antonio Barone","Horizontal Bone Augmentation with Simultaneous Implant Placement in the Aesthetic Region: A Case Report and Review of the Current Evidence",2024,"Medicina (Kaunas, Lithuania)","","","",148,"2026-01-24 10:37:48","Case Reports","10.3390/medicina60111786","1648-9144",,60,11,,,0,0.00,0,8,2,"This study aimed to describe a case of simultaneous guided bone regeneration (GBR) and implant placement in a patient with prior aesthetic implant failure, focusing on achieving optimal aesthetic and functional outcomes, and to perform a literature review of the current evidence. A 38-year-old male presented with an improperly positioned implant at the level of the right upper central (tooth 2.1), leading to aesthetic and functional issues. The initial assessment included a panoramic radiograph revealing marginal bone loss and an enlarged peri-implant space, necessitating implant removal. Following implant removal and provisional restoration, the patient was re-evaluated for subsequent therapeutic treatments. The patient underwent orthodontic treatment to improve mesio-distal spacing, followed by surgical intervention involving GBR and simultaneous implant placement. The GBR procedure utilised bone substitutes and resorbable membranes, with soft tissue augmentation conducted subsequently. The surgical intervention involved local anaesthesia, flap design, defect assessment, and palatally oriented implant placement. GBR was then performed. After six months, implant uncovering and soft tissue augmentation were conducted. The implant was loaded with a screwed restoration following complete hard and soft tissue healing. The patient was monitored every six months for two years, then annually. At the 10-year follow-up, no signs of bone resorption or soft tissue inflammation were observed. This case demonstrated that GBR and simultaneous implant placement, with the application of advanced biomaterials, effectively promoted osseointegration and maintained aesthetic and functional stability over a decade.","",""
0,"Jae-Ha Baek, Byung-Ock Kim, Won-Pyo Lee","Implant Placement after Closure of Oroantral Communication by Sinus Bone Graft Using a Collagen Barrier Membrane in the Shape of a Pouch: A Case Report and Review of the Literature",2021,"Medicina (Kaunas, Lithuania)","","","",506,"2026-01-24 10:37:48","Case Reports","10.3390/medicina57060626","1648-9144",,57,6,,,0,0.00,0,3,5,"Oro-antral communication (OAC) acts as a pathway for bacteria between the maxillary sinus and oral cavity, and is a common complication after the removal of a dental implant or extraction of a tooth from the maxillary posterior area. In the case of an untreated OAC, oro-antral fistula develops and becomes epithelialized. We aimed to introduce a treatment for OAC closure via a sinus bone grafting procedure using bone tacks and a collagen membrane with an allograft. The procedure was performed by applying an absorbable membrane made in pouch form. This membrane acted as a barrier for closing the large sinus membrane perforation. Bone tacks were used to fix the membranes. Subsequently, the maxillary sinus was filled with the allograft, and the absorbable membrane was reapplied. Primary closure was achieved by performing a periosteum-releasing incision for a tension-free suture. After 6 months, sufficient bone dimensions were gained without any occurrence of maxillary sinusitis or recurrence of OAC. Additional bone grafts and implantation could be performed to rehabilitate the maxillary posterior area. We conclude that this technique might be a useful treatment for reconstructing the maxillary posterior area with simultaneous sinus bone graft and OAC closure.","",""
0,"Robert Dłucik, Bogusława Orzechowska-Wylęgala, Daniel Dłucik, Domenico Puzzolo, Antonio Micali","Socket preservation or guided bone regeneration - a case report",2021,"Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego","","","",531,"2026-01-24 10:37:48","Case Reports","","1426-9686",,49,290,153,157,0,0.00,0,5,5,"The greatest challenge of modern implantology is the loss of bone tissue in esthetic region of maxilla and mandible. Significant bone changes caused for example by cysts, unerupted teeth or traumatic extraction often provoke bilateral or trilateral bone defects. Thanks to the possibility of applying demineralized dentin and dentin blocks gained from extracted teeth of the patient, it is possible to successfully regenerate bone tissue especially in the esthetic zone. The aim of the study was to present a case of a patient who underwent bone augmentation for implantation. In addition, a review of the literature illustrating the effectiveness of autogenous bone graft material derived from ground teeth in augmentation procedures was performed. The paper presents a case of a 26-year-old man in whom bone defect was augmented with material derived from dentin blocks and partially demineralized dentin processed in the BonMaker device after extraction of the root of tooth 11. A systematic review of literature was conducted analyzing articles published between 1975 and 2020. From 80 articles, 25 were selected for this study. The presented case and the systematic review of literature indicate that tooth-derived bone graft material prepared from extraction can effectively restore alveolar bone defect. The results we get so far are very satisfying. Further studies should be performed to confirm the osteogenic effects and safety use of this tooth based graft material.","",""
0,"Jiao Fang, Xi-Rui Xin, Wen Li, Han-Chi Wang, Hui-Xin Lv, Yan-Min Zhou","Immediate implant placement in combination with platelet rich-fibrin into extraction sites with periapical infection in the esthetic zone: A case report and review of literature",2021,"World journal of clinical cases","","","",547,"2026-01-24 10:37:48","Case Reports","10.12998/wjcc.v9.i4.960","2307-8960",,9,4,960,969,0,0.00,0,6,5,"In this case, platelet-rich fibrin (PRF) was added to guided tissue regeneration as a biomaterial in proper order for immediate planting in aesthetic area with periapical infection. With the history of endodontic failure in maxillary central incisor, a 34-year-old female patient required the extraction of maxillary anterior residual root and immediate implantation. Cone beam computed tomography and clinical observation were used to assess the regeneration of soft and bone tissue. Before operation, cone beam computed tomography showed the anterior residual root had serious periapical periodontitis with insufficient labial bone in the aesthetic zone. The patient underwent immediate implant placement and reconstruction of the bone substitution by modified guided bone regeneration. The barrier was a three-layer structure of PRF-collagen membrane-PRF that covered the mixture of PRF and Bio-Oss to promote both osteogenesis and soft tissue healing. At 6 mo postoperatively, the definitive crown was placed after accomplished finial impression. One-year follow-up showed a satisfactory aesthetic effect with no obvious absorption of the labial bone and soft tissue. The use of PRF in combination with guided bone regeneration can serve as a reliable and simple adjuvant for immediate implanting in infected socket and result in a stable osteogenic effect with good aesthetic outcome.","",""
0,"Marina Pereira Rocha, Juliana Mendes Amorim, William Gustavo Lima, Júlio César Moreira Brito, Waleska Stephanie da Cruz Nizer","Effect of honey and propolis, compared to acyclovir, against Herpes Simplex Virus (HSV)-induced lesions: A systematic review and meta-analysis",2022,"Journal of ethnopharmacology","","","",458,"2026-01-24 10:37:48","Comparative Study","10.1016/j.jep.2021.114939","1872-7573",,287,,114939,,0,0.00,0,5,4,"Apitherapy is a branch of traditional medicine that uses bee products to manage numerous diseases. In this context, the antiherpetic effect of these bee products has been demonstrated in some studies with some controversial results. Thus, we conducted a systematic review and meta-analysis to compare the effectiveness of honey and propolis with acyclovir, the reference drug, in the treatment of cold sores and genital herpes. The selection of eligible studies was conducted through the search in Pubmed/MEDLINE, Scopus, Cochrane Library, LILACS, and Electronic Scientific Library. The search yielded 147 articles, of which nine were considered eligible for analysis. The analysis of these studies showed that the healing property of propolis is superior to that obtained for acyclovir (95% CI: 2.70 to 8.25; p = 0.0001). Furthermore, honey also presented a better healing effect than acyclovir against Herpes simplex virus-induced wounds (95% CI: 3.58 to -0.19; p = 0.03), inducing complete re-epithelization of herpetic lesions after 8 days, while for acyclovir, the healing time average was 9 days. It also provoked a similar reduction of pain caused by herpetic compared to acyclovir (95% CI: 2.27 to -0.42; p = 0.18). Overall, these results confirm the use of honey and propolis as potent antiherpetic agents.","",""
0,"Aila Akosua Kattner","A concerted effort combating hepatitis",2022,"Biomedical journal","","","",380,"2026-01-24 10:37:48","Editorial","10.1016/j.bj.2022.10.001","2320-2890",,45,5,727,732,0,0.00,0,1,4,"In this issue of the Biomedical Journal one focus is the research of hepatitis. The reader learns about the connection between hepatitis and thrombocytopenia and a large-scale immunization initiative against hepatitis. Further articles include an overview of mitochondrial bioenergetics, a review of current methods to research neuronal dynamics, a study of the anti-cancer effect of propolis, and the challenges of organ transplants derived from brain dead donors. An insight into kidney disease and types of stroke is provided, as well as imaging techniques that are employed for identifying changes in white matter. Lastly this issue contains the results of a study investigating foot arch development in children, the use of a precision radiation therapy against head and neck carcinoma, and an exchange concerning renal impairment and serum cancer antigen-125.","",""
0,"Hayato Ohshima, Kenji Mishima, Norio Amizuka","Oral biosciences: The annual review 2021",2022,"Journal of oral biosciences","","","",444,"2026-01-24 10:37:48","Editorial","10.1016/j.job.2022.02.001","1880-3865",,64,1,1,7,0,0.00,0,3,4,"The Journal of Oral Biosciences is devoted to advancing and disseminating fundamental knowledge concerning every aspect of oral biosciences. This review features review articles in the fields of ""Extracellular Vesicles,"" ""Propolis,"" ""Odontogenic Tumors,"" ""Periodontitis,"" ""Periodontium,"" ""Flavonoids,"" ""Lactoferrin,"" ""Dental Plaque,"" ""Anatomy,"" ""Induced Pluripotent Stem Cells,"" ""Bone Cell Biology,"" ""Dysgeusia,"" ""Dental Caries,"" and ""Dental Pulp Cavity,"" in addition to the review article by the winners of the ""Lion Award"" (""Sox9 function in salivary gland development"") presented by the Japanese Association for Oral Biology. These reviews in the Journal of Oral Biosciences have inspired its readers to broaden their knowledge regarding various aspects of oral biosciences. The current editorial review introduces these exciting review articles.","",""
