Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
212,"L. Sbricoli","Selection of collagen membranes for bone regeneration: A literature review",2020,"Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward",1,"2026-01-24 10:38:23","Article","10.3390/ma13030786","1996-1944",,13,3,,,212,35.33,212,1,6,"","",""
132,"A. Dodero","Alginate-Based Electrospun Membranes Containing ZnO Nanoparticles as Potential Wound Healing Patches: Biological, Mechanical, and Physicochemical Characterization",2020,"ACS Applied Materials and Interfaces","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078080172&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078080172&origin=inward",2,"2026-01-24 10:38:23","Article","10.1021/acsami.9b17597","1944-8244",,12,3,3371,3381,132,22.00,132,1,6,"","",""
98,"A. Alkhouzaam","Polydopamine functionalized graphene oxide as membrane nanofiller: Spectral and structural studies",2021,"Membranes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100336224&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100336224&origin=inward",3,"2026-01-24 10:38:23","Article","10.3390/membranes11020086","2077-0375",,11,2,1,17,98,19.60,98,1,5,"","",""
95,"L. Teng","Epoxied SiO2 nanoparticles and polyethyleneimine (PEI) coated polyvinylidene fluoride (PVDF) membrane for improved oil water separation, anti-fouling, dye and heavy metal ions removal capabilities",2023,"Journal of Colloid and Interface Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85140138728&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140138728&origin=inward",4,"2026-01-24 10:38:23","Article","10.1016/j.jcis.2022.09.148","0021-9797",,630,,416,429,95,31.67,95,1,3,"","",""
90,"S. Huang","Surface modification of nanofiltration membranes to improve the removal of organic micropollutants: Linking membrane characteristics to solute transmission",2021,"Water Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112460825&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112460825&origin=inward",5,"2026-01-24 10:38:23","Article","10.1016/j.watres.2021.117520","0043-1354",,203,,,,90,18.00,90,1,5,"","",""
88,"A. Aguilar-Sanchez","Waterborne nanocellulose coatings for improving the antifouling and antibacterial properties of polyethersulfone membranes",2021,"Journal of Membrane Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094628395&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094628395&origin=inward",6,"2026-01-24 10:38:23","Article","10.1016/j.memsci.2020.118842","0376-7388",,620,,,,88,17.60,88,1,5,"","",""
81,"H. Jafarian","Synthesis of heterogeneous metal organic Framework-Graphene oxide nanocomposite membranes for water treatment",2023,"Chemical Engineering Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143751230&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85143751230&origin=inward",7,"2026-01-24 10:38:23","Article","10.1016/j.cej.2022.140851","1385-8947",,455,,,,81,27.00,81,1,3,"","",""
77,"M.F. Mubarak","Environmentally-friendly calcite scale mitigation: encapsulation of CDs@ MS composite within membranes framework for nanofiltration",2024,"Journal of Alloys and Compounds","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195200729&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195200729&origin=inward",8,"2026-01-24 10:38:23","Article","10.1016/j.jallcom.2024.175061","0925-8388",,999,,,,77,38.50,77,1,2,"","",""
75,"Z. Xie","Ultrathin platinum nanowire based electrodes for high-efficiency hydrogen generation in practical electrolyzer cells",2021,"Chemical Engineering Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099195017&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099195017&origin=inward",9,"2026-01-24 10:38:23","Article","10.1016/j.cej.2020.128333","1385-8947",,410,,,,75,15.00,75,1,5,"","",""
74,"W. Zhang","Preparation of re-entrant and anti-fouling PVDF composite membrane with omniphobicity for membrane distillation",2020,"Journal of Membrane Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074434077&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074434077&origin=inward",10,"2026-01-24 10:38:23","Article","10.1016/j.memsci.2019.117563","0376-7388",,595,,,,74,12.33,74,1,6,"","",""
