Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
212,"C.E.A. Botteon","Biosynthesis and characterization of gold nanoparticles using Brazilian red propolis and evaluation of its antimicrobial and anticancer activities",2021,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099761142&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099761142&origin=inward",3,"2026-01-24 10:15:08","Article","10.1038/s41598-021-81281-w","2045-2322",,11,1,,,212,42.40,212,1,5,"","",""
171,"A. Eskandarinia","A Novel Bilayer Wound Dressing Composed of a Dense Polyurethane/Propolis Membrane and a Biodegradable Polycaprolactone/Gelatin Nanofibrous Scaffold",2020,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079796213&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079796213&origin=inward",4,"2026-01-24 10:15:08","Article","10.1038/s41598-020-59931-2","2045-2322",,10,1,,,171,28.50,171,1,6,"","",""
141,"J.F. Rivero-Cruz","Phytochemical constituents, antioxidant, cytotoxic, and antimicrobial activities of the ethanolic extract of mexican brown propolis",2020,"Antioxidants","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079146858&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079146858&origin=inward",6,"2026-01-24 10:15:08","Article","10.3390/antiox9010070","2076-3921",,9,1,,,141,23.50,141,1,6,"","",""
132,"A. Eskandarinia","A propolis enriched polyurethane-hyaluronic acid nanofibrous wound dressing with remarkable antibacterial and wound healing activities",2020,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078749918&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078749918&origin=inward",7,"2026-01-24 10:15:08","Article","10.1016/j.ijbiomac.2020.01.255","0141-8130",,149,,467,476,132,22.00,132,1,6,"","",""
110,"E.G. Andriotis","Development of bio-active patches based on Pectin for the treatment of Ulcers and wounds using 3D-bioprinting technology",2020,"Pharmaceutics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077859549&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077859549&origin=inward",8,"2026-01-24 10:15:08","Article","10.3390/pharmaceutics12010056","1999-4923",,12,1,,,110,18.33,110,1,6,"","",""
91,"M. Shie Karizmeh","An in vitro and in vivo study of PCL/chitosan electrospun mat on polyurethane/propolis foam as a bilayer wound dressing",2022,"Biomaterials Advances","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130400895&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130400895&origin=inward",10,"2026-01-24 10:15:08","Article","10.1016/j.msec.2022.112667","2772-9508",,135,,,,91,22.75,91,1,4,"","",""
73,"M.G. Shehata","Chemical analysis, antioxidant, cytotoxic and antimicrobial properties of propolis from different geographic regions",2020,"Annals of Agricultural Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097914140&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097914140&origin=inward",14,"2026-01-24 10:15:08","Article","10.1016/j.aoas.2020.12.001","0570-1783",,65,2,209,217,73,12.17,73,1,6,"","",""
73,"L. Boling","Dietary prophage inducers and antimicrobials: toward landscaping the human gut microbiome",2020,"Gut Microbes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078617997&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078617997&origin=inward",15,"2026-01-24 10:15:08","Article","10.1080/19490976.2019.1701353","1949-0976",,11,4,721,734,73,12.17,73,1,6,"","",""
63,"D. Campoccia","Exploring the anticancer effects of standardized extracts of poplar-type propolis: In vitro cytotoxicity toward cancer and normal cell lines",2021,"Biomedicine and Pharmacotherapy","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109088637&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109088637&origin=inward",17,"2026-01-24 10:15:08","Article","10.1016/j.biopha.2021.111895","0753-3322",,141,,,,63,12.60,63,1,5,"","",""
63,"M.A. Ansari","Counteraction of biofilm formation and antimicrobial potential of terminalia catappa functionalized silver nanoparticles against candida albicans and multidrug-resistant gram-negative and gram-positive bacteria",2021,"Antibiotics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108895782&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108895782&origin=inward",18,"2026-01-24 10:15:08","Article","10.3390/antibiotics10060725","2079-6382",,10,6,,,63,12.60,63,1,5,"","",""
62,"M. Surek","Chemical composition, cytotoxicity, and antibacterial activity of propolis from Africanized honeybees and three different Meliponini species",2021,"Journal of Ethnopharmacology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099262274&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099262274&origin=inward",19,"2026-01-24 10:15:08","Article","10.1016/j.jep.2020.113662","0378-8741",,269,,,,62,12.40,62,1,5,"","",""
61,"O. Phonrachom","Potential use of propolis-loaded quaternized chitosan/pectin hydrogel films as wound dressings: Preparation, characterization, antibacterial evaluation, and in vitro healing assay",2023,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85154041036&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85154041036&origin=inward",20,"2026-01-24 10:15:08","Article","10.1016/j.ijbiomac.2023.124633","0141-8130",,241,,,,61,20.33,61,1,3,"","",""
60,"F. Fenyvesi","Cyclodextrin complexation improves the solubility and Caco-2 permeability of chrysin",2020,"Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090206819&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090206819&origin=inward",21,"2026-01-24 10:15:08","Article","10.3390/MA13163618","1996-1944",,13,16,,,60,10.00,60,1,6,"","",""
54,"L. Yavari Maroufi","Novel electrospun nanofibers based on gelatin/oxidized xanthan gum containing propolis reinforced by Schiff base cross-linking for food packaging",2023,"Food Chemistry","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149786303&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149786303&origin=inward",23,"2026-01-24 10:15:08","Article","10.1016/j.foodchem.2023.135806","0308-8146",,416,,,,54,18.00,54,1,3,"","",""
54,"K. Aranci","3D Propolis-Sodium Alginate Scaffolds: Influence on Structural Parameters, Release Mechanisms, Cell Cytotoxicity and Antibacterial Activity",2020,"Molecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095674605&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85095674605&origin=inward",24,"2026-01-24 10:15:08","Article","10.3390/molecules25215082","1420-3049",,25,21,,,54,9.00,54,1,6,"","",""
51,"Z. Pahlevanneshan","Polyurethane-nanolignin composite foam coated with propolis as a platform for wound dressing: Synthesis and characterization",2021,"Polymers","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115384344&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115384344&origin=inward",25,"2026-01-24 10:15:08","Article","10.3390/polym13183191","2073-4360",,13,18,,,51,10.20,51,1,5,"","",""
