Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
212,"L. Sbricoli","Selection of collagen membranes for bone regeneration: A literature review",2020,"Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward",1,"2026-01-24 10:24:51","Article","10.3390/ma13030786","1996-1944",,13,3,,,212,35.33,212,1,6,"","",""
173,"H. Guo","A pure zinc membrane with degradability and osteogenesis promotion for guided bone regeneration: In vitro and in vivo studies",2020,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080955751&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85080955751&origin=inward",3,"2026-01-24 10:24:51","Article","10.1016/j.actbio.2020.02.024","1742-7061",,106,,396,409,173,28.83,173,1,6,"","",""
130,"N. Dubey","Highly tunable bioactive fiber-reinforced hydrogel for guided bone regeneration",2020,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087210304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087210304&origin=inward",7,"2026-01-24 10:24:51","Article","10.1016/j.actbio.2020.06.011","1742-7061",,113,,164,176,130,21.67,130,1,6,"","",""
92,"P. Rider","Biodegradable magnesium barrier membrane used for guided bone regeneration in dental surgery",2022,"Bioactive Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120419419&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120419419&origin=inward",10,"2026-01-24 10:24:51","Article","10.1016/j.bioactmat.2021.11.018","2452-199X",,14,,152,168,92,23.00,92,1,4,"","",""
58,"Ž.P. Kačarević","Biodegradable magnesium fixation screw for barrier membranes used in guided bone regeneration",2022,"Bioactive Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120857095&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120857095&origin=inward",15,"2026-01-24 10:24:51","Article","10.1016/j.bioactmat.2021.10.036","2452-199X",,14,,15,30,58,14.50,58,1,4,"","",""
54,"S. Tamburaci","Development of Si doped nano hydroxyapatite reinforced bilayer chitosan nanocomposite barrier membranes for guided bone regeneration",2021,"Materials Science and Engineering C","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110218710&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110218710&origin=inward",16,"2026-01-24 10:24:51","Article","10.1016/j.msec.2021.112298","0928-4931",,128,,,,54,10.80,54,1,5,"","",""
52,"M. Radenković","Comparative in vivo analysis of the integration behavior and immune response of collagen-based dental barrier membranes for guided bone regeneration (Gbr)",2021,"Membranes","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115143850&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115143850&origin=inward",18,"2026-01-24 10:24:51","Article","10.3390/membranes11090712","2077-0375",,11,9,,,52,10.40,52,1,5,"","",""
50,"M. Barbeck","Degradation, bone regeneration and tissue response of an innovative volume stable magnesium-supported GBR/GTR barrier membrane",2020,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084832603&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084832603&origin=inward",20,"2026-01-24 10:24:51","Article","10.3390/ijms21093098","1661-6596",,21,9,,,50,8.33,50,1,6,"","",""
47,"E. Gheno","In vivo evaluation of the biocompatibility and biodegradation of a new denatured plasma membrane combined with liquid PRF (Alb-PRF)",2021,"Platelets","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087125343&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087125343&origin=inward",21,"2026-01-24 10:24:51","Article","10.1080/09537104.2020.1775188","0953-7104",,32,4,542,554,47,9.40,47,1,5,"","",""
44,"M. Fenelon","Assessment of fresh and preserved amniotic membrane for guided bone regeneration in mice",2020,"Journal of Biomedical Materials Research Part A","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084216655&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084216655&origin=inward",24,"2026-01-24 10:24:51","Article","10.1002/jbm.a.36964","1549-3296",,108,10,2044,2056,44,7.33,44,1,6,"","",""
