Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"M.A. Al-Baadani","In situ preparation of alendronate-loaded ZIF-8 nanoparticles on electrospun nanofibers for accelerating early osteogenesis in osteoporosis",2022,"Materials and Design","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127166615&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127166615&origin=inward",4,"2026-01-24 10:24:32","Article","10.1016/j.matdes.2022.110596","0264-1275",,217,,,,43,10.75,43,1,4,"","",""
43,"S. Jin","Plant-Derived Polyphenol and LL-37 Peptide-Modified Nanofibrous Scaffolds for Promotion of Antibacterial Activity, Anti-Inflammation, and Type-H Vascularized Bone Regeneration",2023,"ACS Applied Materials and Interfaces","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85147555405&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85147555405&origin=inward",5,"2026-01-24 10:24:32","Article","10.1021/acsami.2c20776","1944-8244",,15,6,7804,7820,43,14.33,43,1,3,"","",""
36,"F. Ejeian","ZIF-8 modified polypropylene membrane: A biomimetic cell culture platform with a view to the improvement of guided bone regeneration",2020,"International Journal of Nanomedicine","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098142803&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098142803&origin=inward",6,"2026-01-24 10:24:32","Article","10.2147/IJN.S269169","1176-9114",,15,,10029,10043,36,6.00,36,1,6,"","",""
36,"D. Zhao","Electrophoretic deposition of novel semi-permeable coatings on 3D-printed Ti-Nb alloy meshes for guided alveolar bone regeneration",2022,"Dental Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122391515&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122391515&origin=inward",7,"2026-01-24 10:24:32","Article","10.1016/j.dental.2021.12.026","0109-5641",,38,2,431,443,36,9.00,36,1,4,"","",""
30,"H. Liang","A long-lasting guided bone regeneration membrane from sequentially functionalised photoactive atelocollagen",2022,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121274764&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121274764&origin=inward",10,"2026-01-24 10:24:32","Article","10.1016/j.actbio.2021.12.004","1742-7061",,140,,190,205,30,7.50,30,1,4,"","",""
29,"J. Higuchi","Electrospun Membrane Surface Modification by Sonocoating with HA and ZnO:Ag Nanoparticles—Characterization and Evaluation of Osteoblasts and Bacterial Cell Behavior In Vitro",2022,"Cells","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129521830&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129521830&origin=inward",12,"2026-01-24 10:24:32","Article","10.3390/cells11091582","2073-4409",,11,9,,,29,7.25,29,1,4,"","",""
25,"L. Yang","Surface modified small intestinal submucosa membrane manipulates sequential immunomodulation coupled with enhanced angio- and osteogenesis towards ameliorative guided bone regeneration",2021,"Materials Science and Engineering C","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85093691454&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093691454&origin=inward",14,"2026-01-24 10:24:32","Article","10.1016/j.msec.2020.111641","0928-4931",,119,,,,25,5.00,25,1,5,"","",""
20,"C.P. Tasiopoulos","Surface Functionalization of PTFE Membranes Intended for Guided Bone Regeneration Using Recombinant Spider Silk",2020,"ACS Applied Bio Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078675977&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078675977&origin=inward",15,"2026-01-24 10:24:32","Article","10.1021/acsabm.9b00972","2576-6422",,3,1,577,583,20,3.33,20,1,6,"","",""
18,"S. Federico","Hyaluronan alkyl derivatives-based electrospun membranes for potential guided bone regeneration: Fabrication, characterization and in vitro osteoinductive properties",2021,"Colloids and Surfaces B Biointerfaces","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095431589&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85095431589&origin=inward",16,"2026-01-24 10:24:32","Article","10.1016/j.colsurfb.2020.111438","0927-7765",,197,,,,18,3.60,18,1,5,"","",""
16,"F. Yan","Hierarchical Mineralized Collagen Coated Zn Membrane to Tailor Cell Microenvironment for Guided Bone Regeneration",2025,"Advanced Functional Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85214697228&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85214697228&origin=inward",17,"2026-01-24 10:24:32","Article","10.1002/adfm.202412695","1616-301X",,35,7,,,16,16.00,16,1,1,"","",""
15,"S. Wu","Enhancement of Bone Regeneration on Calcium-Phosphate-Coated Magnesium Mesh: Using the Rat Calvarial Model",2021,"Frontiers in Bioengineering and Biotechnology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105920307&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105920307&origin=inward",18,"2026-01-24 10:24:32","Article","10.3389/fbioe.2021.652334","2296-4185",,9,,,,15,3.00,15,1,5,"","",""
14,"A. Galefi","Enhanced osteogenesis on proantocyanidin-loaded date palm endocarp cellulosic matrices: A novel sustainable approach for guided bone regeneration",2023,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159306304&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85159306304&origin=inward",19,"2026-01-24 10:24:32","Article","10.1016/j.ijbiomac.2023.124857","0141-8130",,242,,,,14,4.67,14,1,3,"","",""
11,"M.J. Sánchez-Fernández","Bone-adhesive barrier membranes based on alendronate-functionalized poly(2-oxazoline)s",2021,"Journal of Materials Chemistry B","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111466676&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111466676&origin=inward",20,"2026-01-24 10:24:32","Article","10.1039/d1tb00502b","2050-750X",,9,29,5848,5860,11,2.20,11,1,5,"","",""
10,"D. Kim","Oxygen plasma-modified polycaprolactone nanofiber membrane activates the biological function in cell adhesion, proliferation, and migration through the phosphorylation of FAK and ERK1/2, enhancing bone regeneration",2024,"Chemical Engineering Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204568229&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85204568229&origin=inward",21,"2026-01-24 10:24:32","Article","10.1016/j.cej.2024.156003","1385-8947",,499,,,,10,5.00,10,1,2,"","",""
7,"K. Liu","3D-printed porous calcium silicate scaffolds with hydroxyapatite/graphene oxide hybrid coating for guided bone regeneration",2025,"Ceramics International","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208482071&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85208482071&origin=inward",23,"2026-01-24 10:24:32","Article","10.1016/j.ceramint.2024.11.092","0272-8842",,51,1,1103,1114,7,7.00,7,1,1,"","",""
6,"S. Shanbhag","The use of mesenchymal stromal cell secretome to enhance guided bone regeneration in comparison with leukocyte and platelet-rich fibrin",2024,"Clinical Oral Implants Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176960227&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85176960227&origin=inward",24,"2026-01-24 10:24:32","Article","10.1111/clr.14205","0905-7161",,35,2,141,154,6,3.00,6,1,2,"","",""
5,"A. Turri","Modulation of gene expression and bone formation by expanded and dense polytetrafluoroethylene membranes during guided bone regeneration: An experimental study",2024,"Clinical Implant Dentistry and Related Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85162870895&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85162870895&origin=inward",25,"2026-01-24 10:24:32","Article","10.1111/cid.13241","1523-0899",,26,2,266,280,5,2.50,5,1,2,"","",""
5,"Y. Xing","Optimized osteogenesis of porcine bone-derived xenograft through surface coating of magnesium-doped nanohydroxyapatite",2023,"Biomedical Materials Bristol","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85169187691&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85169187691&origin=inward",26,"2026-01-24 10:24:32","Article","10.1088/1748-605X/acf25e","1748-6041",,18,5,,,5,1.67,5,1,3,"","",""
5,"S.F. Hosseini","Magnesium oxide nanoparticle reinforced pumpkin-derived nanostructured cellulose scaffold for enhanced bone regeneration",2024,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85206324187&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85206324187&origin=inward",27,"2026-01-24 10:24:32","Article","10.1016/j.ijbiomac.2024.136303","0141-8130",,281,,,,5,2.50,5,1,2,"","",""
5,"Y. Yang","The Phase-Transited Lysozyme Coating Modified Small Intestinal Submucosa Membrane Loaded with Calcium and Zinc Ions for Enhanced Bone Regeneration",2025,"Advanced Healthcare Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85218706102&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85218706102&origin=inward",28,"2026-01-24 10:24:32","Article","10.1002/adhm.202404564","2192-2640",,14,10,,,5,5.00,5,1,1,"","",""
3,"J. Zuchuat","Cocrmo alloy as biomaterial for bone reconstruction in oral and maxillofacial surgery: A scoping review.",2020,"Journal of Oral Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095980041&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85095980041&origin=inward",30,"2026-01-24 10:24:32","Article","10.17126/joralres.2020.075","0719-2460",,9,4,336,349,3,0.50,3,1,6,"","",""
3,"T.V. Pierfelice","Functionalization of a Cortical Membrane with a Photodynamic Protocol",2023,"Journal of Functional Biomaterials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151135183&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85151135183&origin=inward",31,"2026-01-24 10:24:32","Article","10.3390/jfb14030133","2079-4983",,14,3,,,3,1.00,3,1,3,"","",""
3,"M. van Erk","Novel alendronate and NHS-ester functionalized poly(2-oxazoline)s bone adhesive barrier membranes for guided bone regeneration: Prototype selection and experimental model comparison",2022,"Materialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135120256&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135120256&origin=inward",32,"2026-01-24 10:24:32","Article","10.1016/j.mtla.2022.101517","2589-1529",,24,,,,3,0.75,3,1,4,"","",""
3,"S. Oschatz","Fetuin A functionalisation of biodegradable PLLA-co-PEG nonwovens towards enhanced biomineralisation and osteoblastic growth behaviour",2023,"Biomaterials Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163986252&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85163986252&origin=inward",33,"2026-01-24 10:24:32","Article","10.1039/d3bm00141e","2047-4830",,11,15,5240,5250,3,1.00,3,1,3,"","",""
2,"S. Guo","Sandwich-like chitosan/collagen barrier membrane with passivated magnesium mesh as the skeleton",2025,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001384616&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105001384616&origin=inward",34,"2026-01-24 10:24:32","Article","10.1016/j.ijbiomac.2025.142590","0141-8130",,308,,,,2,2.00,2,1,1,"","",""
2,"C. Balducci","Resorbable engineered barrier membranes for oral surgery applications",2024,"Journal of Biomedical Materials Research Part A","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193978756&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85193978756&origin=inward",36,"2026-01-24 10:24:32","Article","10.1002/jbm.a.37752","1549-3296",,112,11,1960,1974,2,1.00,2,1,2,"","",""
