Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
212,"L. Sbricoli","Selection of collagen membranes for bone regeneration: A literature review",2020,"Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079595810&origin=inward",1,"2026-01-24 10:27:53","Article","10.3390/ma13030786","1996-1944",,13,3,,,212,35.33,212,1,6,"","",""
92,"P. Rider","Biodegradable magnesium barrier membrane used for guided bone regeneration in dental surgery",2022,"Bioactive Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120419419&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120419419&origin=inward",5,"2026-01-24 10:27:53","Article","10.1016/j.bioactmat.2021.11.018","2452-199X",,14,,152,168,92,23.00,92,1,4,"","",""
82,"X. Liu","Mussel patterned with 4D biodegrading elastomer durably recruits regenerative macrophages to promote regeneration of craniofacial bone",2021,"Biomaterials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109064766&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109064766&origin=inward",6,"2026-01-24 10:27:53","Article","10.1016/j.biomaterials.2021.120998","0142-9612",,276,,,,82,16.40,82,1,5,"","",""
67,"A. Cucchi","Vertical and horizontal ridge augmentation using customized CAD/CAM titanium mesh with versus without resorbable membranes. A randomized clinical trial",2021,"Clinical Oral Implants Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116892854&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116892854&origin=inward",8,"2026-01-24 10:27:53","Article","10.1111/clr.13841","0905-7161",,32,12,1411,1424,67,13.40,67,1,5,"","",""
66,"S. Li","Hard tissue stability after guided bone regeneration: a comparison between digital titanium mesh and resorbable membrane",2021,"International Journal of Oral Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119115924&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119115924&origin=inward",9,"2026-01-24 10:27:53","Article","10.1038/s41368-021-00143-3","1674-2818",,13,1,,,66,13.20,66,1,5,"","",""
63,"S. Guo","Enhanced effects of electrospun collagen-chitosan nanofiber membranes on guided bone regeneration",2020,"Journal of Biomaterials Science Polymer Edition","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074904637&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074904637&origin=inward",10,"2026-01-24 10:27:53","Article","10.1080/09205063.2019.1680927","0920-5063",,31,2,155,168,63,10.50,63,1,6,"","",""
63,"A.E. Lee","DPSC-Derived Extracellular Vesicles Promote Rat Jawbone Regeneration",2023,"Journal of Dental Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142117374&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142117374&origin=inward",11,"2026-01-24 10:27:53","Article","10.1177/00220345221133716","0022-0345",,102,3,313,321,63,21.00,63,1,3,"","",""
62,"J. Li","Matrix stiffening by self-mineralizable guided bone regeneration",2021,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101126486&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101126486&origin=inward",12,"2026-01-24 10:27:53","Article","10.1016/j.actbio.2021.02.012","1742-7061",,125,,112,125,62,12.40,62,1,5,"","",""
59,"B. Allan","Collagen membrane for guided bone regeneration in dental and orthopedic applications",2021,"Tissue Engineering Part A","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102879462&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102879462&origin=inward",13,"2026-01-24 10:27:53","Article","10.1089/ten.tea.2020.0140","1937-3341",,27,5,372,381,59,11.80,59,1,5,"","",""
56,"M. Atef","Horizontal ridge augmentation using native collagen membrane vs titanium mesh in atrophic maxillary ridges: Randomized clinical trial",2020,"Clinical Implant Dentistry and Related Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081906786&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081906786&origin=inward",14,"2026-01-24 10:27:53","Article","10.1111/cid.12892","1523-0899",,22,2,156,166,56,9.33,56,1,6,"","",""
