Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Hazem Redwan, Munir Harfouch, Abdulkarim Sheikh Ibrahim, Ali Silan, Issam Alkhouri","Case Report: A new modification of Loma Linda pouch technique",2025,"F1000Research","","","",5,"2026-01-24 10:28:49","Case Reports","10.12688/f1000research.160451.3","2046-1402",,14,,383,,0,0.00,0,5,1,"Dental implants provide a reliable treatment option for completely or partially edentulous patients. In case of a membrane perforation, the gap can be closed using a piece of resorbable collagen membrane or by suturing the Schneiderian membrane using a resorbable suture. The present study shows a new development in this technique, which involves modifying the design of the absorbable membrane and using pins to fix the membrane. This study concluded that the novel design of the collagen membrane and its fixation with the pins led to greater stability of the bone graft and led to subsequent bone gain that enables dental implantation. Still, this technique requires a histological study to determine the nature of the bone formed.","",""
0,"Francesco Tironi, Stavros Sofos, Jason Wong, Megan Leyva, Gisella Contasti, Myron Nevins, Saynur Vardar-Sengul","Periodontal phenotype modification in surgically facilitated orthodontics: A case report",2025,"Clinical advances in periodontics","","","",7,"2026-01-24 10:28:49","Case Reports","10.1002/cap.10321","2163-0097",,15,4,337,345,0,0.00,0,7,1,"Orthodontic treatment in adults with thin periodontal phenotype presents challenges such as lengthy treatment time and increased risk for gingival recessions. In this case, surgically facilitated orthodontic treatment (SFOT) was proposed to accelerate orthodontic tooth movement while modifying the periodontal phenotype. An orthodontic patient was referred for periodontal evaluation of lower anterior teeth, which presented a thin gingival phenotype and bone dehiscence. SFOT was performed on the mandible using particulate allograft combined with platelet rich fibrin (PRF) and collagen membrane to augment soft and hard tissue, thereby preventing future recessions, while accelerating the treatment times. Six-month and 3-year follow-ups confirmed radiographic bone fill, absence of gingival recession and thick band of keratinized gingiva. SFOT also resulted in a shorter treatment time where desired tooth movements were achieved within 6 months with periodontal stability. SFOT provided clinical benefits by accelerating orthodontic movement, improving periodontal phenotype, preventing the displacement of teeth beyond the alveolar housing and minimizing the risk for development of dehiscences and gingival recessions. Orthodontic movements can create recessions and dehiscence in thin periodontal phenotypes. SFOT can help prevent bone dehiscence and creates a thicker gingival phenotype while accelerating treatment time. Adults who face lengthy orthodontic treatments and have thin gums have risks of gum problems. Surgically facilitated orthodontic treatment (SFOT) can help by speeding up tooth movements and improving gum health and thickness. A patient with thin gums and lack of bone in the lower front teeth was evaluated. The SFOT procedure involved using a bone graft, healing factors, and a collagen membrane to strengthen the gums and bones. This approach aimed to prevent future gum problems and speed up orthodontic treatment. Follow-ups at 6 months and 3 years after treatment showed good healing of the gums and bones, with no signs of gum recession and healthier, thicker gums. The desired tooth movements were achieved within 6 months, resulting in a shorter treatment time. The patient's gums remained stable throughout this period. SFOT offered significant clinical benefits, including faster tooth movement and improved gum health. It also helped prevent teeth from moving out of place and minimized the risk of gum recession and bone issues. This approach can be a valuable option for adults with thin gums undergoing orthodontic treatment.","",""
0,"R Bettach, F Goker, S Khijmatgar, G Boukhris, S Taschieri, L Francetti, C Corradini, M Parrini, M Del Fabbro","Delayed post-extraction implants placed using a modified Summers technique: Preliminary results of a single cohort study",2021,"Journal of biological regulators and homeostatic agents","","","",13,"2026-01-24 10:28:49","Case Reports","10.23812/21-2supp1-11","0393-974X",,35,2,117,129,0,0.00,0,9,5,"The aim of this retrospective case series was to evaluate the clinical and radiographic outcomes of the patients that underwent implant surgery with a modification of the sinus lift summers protocol. Forty healthy patients in need for oral rehabilitation with dental implants were included in this study. Inclusion criterion was the need for extraction of one compromised tooth due to persistent abscess/ periodontitis/cyst in the atrophic posterior maxilla region. The treatment consisted of two stage surgery for all patients. In the first stage, after tooth extraction, the sockets were preserved with allogenic bone graft and equine collagen membrane. After 4-5 months, 40 implants with a sandblasted surface, were inserted with osseodensification technique and a modification of the Summers sinus lift protocol for fracturing the sinus floor. The implant survival rate was the primary outcome. Intra- and postoperative complications were additional criteria for success. The mean follow-up from implant surgery was 28.0±7.3 (standard deviation) months (range 17.8-43.4 months). One implant was lost before the delivery of the prosthesis. The overall implant survival rate was 97.5%. The overall mean peri-implant marginal bone level change after 6 and 12 months of function was, respectively, 0.26±0.24 mm (95% CI: 0.19, 0.34 mm) and 0.71±0.36 mm (95% CI: 0.60, 0.82 mm). Marginal bone loss was statistically significant at both time frames respect to implant placement, and also the difference between 6 and 12 months was significant (p<0.001 in both cases). No biological nor mechanical complications were recorded throughout the observation period. As a conclusion, the technique presented in this cohort study can be an effective and safe alternative to standard maxillary sinus floor augmentation procedures and immediate implant insertion protocol, especially in cases of periodontitis and infected sites, which can represent a high risk for implant failure in patients with atrophic posterior maxilla.","",""
0,"Cristian Balducci, Paola Brun, Chiara Giulia Fontanella, Andrea Vogliardi, Francesco Lanero, Chiara Maria Morini, Monica Dettin, Annj Zamuner","Optimizing non-crosslinked type I collagen barrier membranes for guided bone regeneration: a comparative study of a BMP-2 derived peptide adsorption and covalent grafting",2026,"Biomedical materials (Bristol, England)","","","",1,"2026-01-24 10:28:49","Journal Article","10.1088/1748-605X/ae3af3","1748-605X",,,,,,0,0.00,0,8,1,"Oral diseases like periodontitis and tooth loss affect billions worldwide, causing alveolar bone resorption and complicating implant placement and bone regeneration. Guided Bone Regeneration (GBR) addresses these defects using barrier membranes that block soft tissue infiltration and promote bone growth. CollaTape®, a type I bovine collagen membrane, is widely used for its biocompatibility and resorbability, though its bioactivity and antibacterial properties could be improved. This study compares two functionalization methods for enhancing CollaTape® membranes: adsorption of GBMP1α peptide (a BMP-2 biomimetic) and covalent anchoring of its analogue Aoa-GBMP1α. Both functionalizations were performed at concentrations of 0.25, 0.5, 1, and 1.5 mg/mL. Optimal conditions were selected basing on osteoblast mineralization assays and resulted to be 0.25 mg/mL for adsorption and 1.5 mg/mL for covalent binding. Peptide surface density analysis revealed values of 0.040 μmol/cm² for adsorption and 0.278 μmol/cm² for covalent anchoring. Biological assays assessed mineralization, proliferation, and gene expression (SPP1, RUNX2) in human osteoblasts, and antibacterial activity against S. aureus and E. coli. All functionalized membranes improved osteoblast activity, with adsorption showing superior results. Antibacterial tests showed slight but significant reductions in bacterial colonies, especially for adsorption. Additional mechanical tests via unconfined compression were performed to evaluate the effect of functionalization on the membranes' mechanical properties. These tests confirmed that neither functionalization method compromised the stiffness of the membrane, a critical parameter in clinical applications. Overall, peptide adsorption is a simple and clinically adaptable strategy to enhance CollaTape®'s bioactivity and antibacterial properties while maintaining their original mechanical properties.&#xD.","",""
0,"Su-Young Kim, Ji-Hyeon Oh, Min-Ho Hong, Joon Ha Lee, You-Young Jo, Seong-Gon Kim","L-Serine-Incorporated Collagen Scaffolds for Modulating In Vivo Degradation Behavior",2025,"Journal of functional biomaterials","","","",2,"2026-01-24 10:28:49","Journal Article","10.3390/jfb16120466","2079-4983",,16,12,,,0,0.00,0,6,1,"Collagen-based biomaterials are widely used, but their relatively rapid biodegradation can limit functional duration. Such collagen constructs are widely used as barrier membranes in guided tissue and bone regeneration, where controlled degradation is essential for maintaining function. Although conventional crosslinking methods extend stability, they may introduce cytotoxicity, alter mechanical behavior, or hinder tissue integration. This study evaluated whether incorporating L-serine, a polar amino acid capable of hydrogen bonding, could modulate collagen structure and slow degradation without chemical crosslinking. L-Serine was selected because its hydroxyl-containing side chain can engage in biocompatible, hydrogen-bond-mediated interactions that offer a mild, non-crosslinking means of stabilizing collagen. Collagen scaffolds, prepared by incorporating L-serine into a collagen hydrogel followed by drying, were produced with 0-40 wt% L-serine and characterized using X-ray diffraction, Fourier-transform infrared spectroscopy, circular dichroism, and scanning electron microscopy. In vivo degradation was assessed in a subcutaneous mouse model comparing unmodified collagen, collagen containing 40 wt% L-serine, and a commercially available bilayer porcine collagen membrane (Bio-Gide®, composed of type I and III collagen), with residual area quantified by serial sonography and histological evaluation. Low-to-moderate L-serine incorporation preserved triple-helical features, while 40 wt% led to crystalline domain formation and β-sheet enrichment. L-serine-treated collagen exhibited significantly greater residual area (2.70 ± 1.45 mm2) than unmodified collagen (0.37 ± 0.22 mm2, p < 0.05), although Bio-Gide® remained the most persistent (5.64 ± 2.76 mm2). These findings demonstrate that L-serine incorporation can modulate collagen structure and degradation kinetics through a simple, aqueous, and non-crosslinking approach. The results provide preliminary feasibility data supporting amino acid-assisted tuning of collagen resorption properties and justify further evaluation using membrane-specific fabrication and application-relevant testing.","",""
0,"Daniel Diehl, Vincent Kabst, Tim Bürgel, Thomas Dittmar, Hagen S Bachmann, Anton Pembaur, Anton Friedmann","Hyaluronic acid promotes biomineralization of osteoblast-like cells - observations on two different barrier membranes",2025,"International journal of implant dentistry","","","",3,"2026-01-24 10:28:49","Journal Article","10.1186/s40729-025-00646-2","2198-4034",,11,1,58,,0,0.00,0,7,1,"Guided bone regeneration (GBR) relies on biocompatible membranes to support osteogenesis. 1,4-butanediol diglycidyl ether (BDDE)-crosslinked hyaluronic acid (xHyA) has shown promise in enhancing bone regeneration, yet its mechanisms remain unclear. This study evaluates the osteogenic effects of xHyA-functionalized native pericardium collagen membrane (NPCM) and ribose-crosslinked collagen membrane (RCCM) using an airlift culture model with SaOS-2 cells. Transcriptomic changes following xHyA treatment were also investigated. SaOS-2 cells were cultured on NPCM and RCCM, with or without xHyA functionalization. Cytocompatibility, alkaline phosphatase (ALP) activity, mineralization (Von Kossa staining), and RNA sequencing were assessed. Differential gene expression and pathway enrichment analyses were conducted on cells exposed to two xHyA concentrations. Both membrane types supported cell viability, though NPCM allowed cellular infiltration while RCCM maintained barrier integrity. xHyA significantly enhanced ALP activity and mineral deposition across both substrates. RNA sequencing revealed minimal upregulation of classical osteogenic genes but identified differential expression in pathways related to focal adhesion, VEGF signaling, and stem cell differentiation. IGF1R, FYN, and MAPK14 were consistently upregulated regardless of xHyA concentration. xHyA functionalization enhances osteogenic activity, evidenced by increased ALP and mineralization, likely via modulation of cell-matrix interactions rather than classical osteogenic gene activation. These findings support using xHyA-functionalized membranes in GBR and warrant further investigation in vivo.","",""
0,"Michele Bujda, Tomáš Suchý, Vít Herynek, Jaroslava Dušková, Margit Žaloudková, Luděk Šefc, Karel Klíma, Robert Plachý, René Foltán","In Vivo Degradation and Local Tissue Response of Experimental Carp Collagen Membranes: Micro-MRI and Histological Analysis",2025,"Biopolymers","","","",4,"2026-01-24 10:28:49","Journal Article","10.1002/bip.70045","1097-0282",,116,5,,,0,0.00,0,9,1,"Collagen membranes are widely used in tissue and bone engineering, including guided bone regeneration (GBR). For effective and uninterrupted bone healing, a GBR membrane must maintain its functionality for an initial critical period of 4 weeks. A novel carp collagen sponge has already shown promise as a wound coating and vascular graft coating, making it a candidate for GBR applications as well. To enhance the mechanical properties and longevity of GBR membranes, we modified the basic carp collagen membrane with combinations of l-lactide, ε-caprolactone, d,l-lactide, and glycolide in various molar ratios. While traditional methods rely on histological evaluation to assess the degradation pattern and therefore suitability of GBR membranes ex vivo, this study employed micro-MRI as an innovative, noninvasive approach to monitor the in vivo degradation of carp collagen membrane and its polymer-modified variants. Our findings demonstrated that micro-MRI is a reliable and effective method for visualizing collagen membrane degradation in vivo, up to scaffold disintegration. Among the variants tested, collagen GBR membrane coated with d,l-lactide and glycolide in a 50:50 M ratio emerged as the most suitable for GBR purposes. However, since this study was conducted in the subcutaneous tissue of a rat model, further research is required to determine the behavior of carp collagen GBR membrane variants on bony surfaces.","",""
0,"Sarah Hashemi Astaneh, Leonardo P Faverani, Harshdeep Bhatia, Eduardo Dallazen, Monique Gonçalves Costa, Edilson Ervolino, Valentim A R Barão, Cortino Sukotjo, Christos G Takoudis","Functionalization of collagen fiber with nano-islands of silver via atomic layer deposition to promote bone healing",2025,"Heliyon","","","",6,"2026-01-24 10:28:49","Journal Article","10.1016/j.heliyon.2025.e42177","2405-8440",,11,3,,,0,0.00,0,9,1,"Modern techniques of thin film deposition (e.g., atomic layer deposition [ALD]) have paved the way for the modification of the surface of target substrates with thin films, nanoparticles, or other types of nanomaterials. This novel way can improve the base material's properties and enhance specific properties through adding functionalized groups to the surface. In this study, ALD of silver was conducted on commercially available Type I collagen membrane to improve its bioactivity and promote bone healing. Two different sample groups were studied: pristine collagen and silver-coated collagen via ALD (Ag/Collagen). Chemical and morphological changes of the collagen membrane were investigated with X-ray photoelectron spectroscopy and scanning electron microscopy and the bioactivity of functionalized collagen with silver was studied in vitro and in vivo. Nano-islands of silver were obtained on collagen fibrils with an average diameter of ∼16 nm. Comparison of gingival cells cultured on pristine collagen, and silver-coated collagen, demonstrated that the attained silver nanoparticle size and concentration are below the toxicity level of silver. In vivo assessment in rat model showed the biocompatibility of the Ag/Collagen, and greater new bone formation compared to control. This novel solvent-free method can be used to functionalize sensitive materials used in surgeries as bone grafting agents to enhance osteopromotive properties without any adverse effects to the cellular environment.","",""
0,"Shih-Cheng Wen, Muhammad Saleh, Abdusalam Alrmali, David T Wu, Hom-Lay Wang","Utilizing Individualized Titanium Frames for Protected Alveolar Bone Augmentation: A Feasibility Case Series",2024,"The International journal of periodontics & restorative dentistry","","","",8,"2026-01-24 10:28:49","Journal Article","10.11607/prd.6568","1945-3388",,44,3,277,285,0,0.00,0,5,2,"Despite the various treatments proposed with barrier membranes, one of the main challenges for guided bone regeneration (GBR) is maintaining space for large defects and ensuring an adequate blood supply. The presented feasibility case series aims to introduce an original titanium frame (TF) design, customized for each defect, as a modification of well-known principles and materials for GBR to achieve an enhanced and more predictable horizontal and vertical bone augmentation. Three patients with significant horizontal defects were treated with pre-trimmed TFs to create needed space, and then a 50/50 mixture of autograft and bovine xenograft was placed and covered with a collagen membrane. After 8 months of healing, the sites were reopened, and the titanium screws were removed with the frame. An average of 8.0 ± 1.0 mm of horizontal and 3.0 ± 0.0 mm of vertical bone gain were achieved at the time of reentry and implant placement surgery. Bone core biopsy sample was obtained during the implant placement. Histomorphometric analysis revealed that 42.8% of the sample was new vital bone, 18.8% was residual bone graft particles, and 38.4% was bone marrow-like structures. After 3 to 4 months from implant placement, the implants were restored with provisional crowns and then finalized with zirconia screw-retained crowns. This case series suggests that GBR utilizing TFs with or without collagen membranes can be considered a suitable approach for horizontal and vertical bone augmentation. However, based on only three reported cases, the results should be carefully interpreted.","",""
0,"Sotoudeh Davaie, Tabassom Hooshmand, Farhood Najafi, Masoumeh Haghbin Nazarpak, Maryam Pirmoradian","Synthesis, Characterization, and Induced Osteogenic Differentiation Effect of Collagen Membranes Functionalized by Polydopamine/Graphene Oxide for Bone Tissue Engineering",2023,"ACS applied bio materials","","","",9,"2026-01-24 10:28:49","Journal Article","10.1021/acsabm.3c00400","2576-6422",,6,11,4629,4644,0,0.00,0,5,3,"Collagen is one of the most common natural absorbable polymers, which is widely used as a barrier membrane in biomedical fields due to its many desirable biological properties. However, absorbable membranes such as collagen have their own disadvantages such as unpredictable degradation rates, poor rigidity leading to tissue collapse, and limited osteogenic properties and cell adhesion. In this study, a modified collagen membrane with a polydopamine-graphene oxide (PDA/GO) complex was synthesized to improve the characteristics of collagen for bone tissue engineering. The successful synthesis of PDA/GO on collagen membranes was verified using X-ray photoelectron spectroscopy (XPS) and attenuated total reflectance-Fourier transform infrared spectroscopy (ATR-FTIR). The wettability of PDA/GO-modified collagen membranes was considerably improved based on the characterization by water contact angle compared to the uncoated membranes and surface coatings solely by either PDA or GO. The modified PDA/GO coating also enhanced the mechanical properties such as tensile strength and biodegradation rate of collagen membranes. In addition, the PDA/GO coating effectively enhanced the biocompatibility of collagen membranes as verified by the enhanced proliferation and adhesion of human bone marrow stem cells (hBMSCs). Additionally, the effects of PDA/GO coating on the osteogenic differentiation of hBMSCs on collagen membranes were investigated through alkaline phosphatase (ALP) activity and reverse transcription-quantitative polymerase chain reaction (RT-qPCR). The PDA/GO coating on collagen membranes resulted in a significant increase in osteogenic properties compared with the uncoated collagen membranes. According to the results of the current study, the combination of PDA and GO-modified collagen membranes could be used for bone tissue engineering and biomedical applications.","",""
