Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
458,"W. Sun","Silk fibroin as a functional biomaterial for tissue engineering",2021,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100491345&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100491345&origin=inward",1,"2026-01-24 10:29:43","Article","10.3390/ijms22031499","1661-6596",,22,3,1,28,458,91.60,458,1,5,"","",""
191,"T. Wang","Engineering immunomodulatory and osteoinductive implant surfaces via mussel adhesion-mediated ion coordination and molecular clicking",2022,"Nature Communications","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85122682064&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122682064&origin=inward",16,"2026-01-24 10:29:43","Article","10.1038/s41467-021-27816-1","2041-1723",,13,1,,,191,47.75,191,1,4,"","",""
125,"J. Yan","pH-responsive silk fibroin-based CuO/Ag micro/nano coating endows polyetheretherketone with synergistic antibacterial ability, osteogenesis, and angiogenesis",2020,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089827764&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089827764&origin=inward",34,"2026-01-24 10:29:43","Article","10.1016/j.actbio.2020.07.062","1742-7061",,115,,220,234,125,20.83,125,1,6,"","",""
121,"C. Yin","Biomimetic anti-inflammatory nano-capsule serves as a cytokine blocker and M2 polarization inducer for bone tissue repair",2020,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076549482&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076549482&origin=inward",39,"2026-01-24 10:29:43","Article","10.1016/j.actbio.2019.11.025","1742-7061",,102,,416,426,121,20.17,121,1,6,"","",""
119,"Y. Zheng","A programmed surface on polyetheretherketone for sequentially dictating osteoimmunomodulation and bone regeneration to achieve ameliorative osseointegration under osteoporotic conditions",2022,"Bioactive Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123854078&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123854078&origin=inward",40,"2026-01-24 10:29:43","Article","10.1016/j.bioactmat.2022.01.042","2452-199X",,14,,364,376,119,29.75,119,1,4,"","",""
117,"L. Yang","A tailored extracellular matrix (ECM) - Mimetic coating for cardiovascular stents by stepwise assembly of hyaluronic acid and recombinant human type III collagen",2021,"Biomaterials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111883676&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111883676&origin=inward",42,"2026-01-24 10:29:43","Article","10.1016/j.biomaterials.2021.121055","0142-9612",,276,,,,117,23.40,117,1,5,"","",""
107,"K.D. Patel","Coating biopolymer nanofibers with carbon nanotubes accelerates tissue healing and bone regeneration through orchestrated cell- and tissue-regulatory responses",2020,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081976561&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081976561&origin=inward",49,"2026-01-24 10:29:43","Article","10.1016/j.actbio.2020.03.012","1742-7061",,108,,97,110,107,17.83,107,1,6,"","",""
106,"Z. Ebrahimi","Enhanced osteogenic differentiation of stem cells by 3D printed PCL scaffolds coated with collagen and hydroxyapatite",2022,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85134524734&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134524734&origin=inward",50,"2026-01-24 10:29:43","Article","10.1038/s41598-022-15602-y","2045-2322",,12,1,,,106,26.50,106,1,4,"","",""
105,"Y. Liang","Conductive polypyrrole-encapsulated silk fibroin fibers for cardiac tissue engineering",2021,"Biomaterials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109573196&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109573196&origin=inward",52,"2026-01-24 10:29:43","Article","10.1016/j.biomaterials.2021.121008","0142-9612",,276,,,,105,21.00,105,1,5,"","",""
105,"B.I. Oladapo","3D printing of PEEK–cHAp scaffold for medical bone implant",2021,"Bio Design and Manufacturing","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85093102308&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093102308&origin=inward",53,"2026-01-24 10:29:43","Article","10.1007/s42242-020-00098-0","2096-5524",,4,1,44,59,105,21.00,105,1,5,"","",""
104,"S. Chen","Evaluation of BMP-2 and VEGF loaded 3D printed hydroxyapatite composite scaffolds with enhanced osteogenic capacity in vitro and in vivo",2020,"Materials Science and Engineering C","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082761791&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082761791&origin=inward",54,"2026-01-24 10:29:43","Article","10.1016/j.msec.2020.110893","0928-4931",,112,,,,104,17.33,104,1,6,"","",""
99,"W. Klunklin","Synthesis, characterization, and application of carboxymethyl cellulose from asparagus stalk end",2021,"Polymers","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098761487&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098761487&origin=inward",58,"2026-01-24 10:29:43","Article","10.3390/polym13010081","2073-4360",,13,1,1,15,99,19.80,99,1,5,"","",""
98,"B. Yuan","A biomimetically hierarchical polyetherketoneketone scaffold for osteoporotic bone repair",2020,"Science Advances","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097942470&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097942470&origin=inward",60,"2026-01-24 10:29:43","Article","10.1126/sciadv.abc4704","2375-2548",,6,50,,,98,16.33,98,1,6,"","",""
98,"H. Liu","Bioinspired Piezoelectric Periosteum to Augment Bone Regeneration via Synergistic Immunomodulation and Osteogenesis",2023,"ACS Applied Materials and Interfaces","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149691607&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149691607&origin=inward",61,"2026-01-24 10:29:43","Article","10.1021/acsami.2c19767","1944-8244",,15,9,12273,12293,98,32.67,98,1,3,"","",""
95,"Y. Li","Tannic acid/Sr2+-coated silk/graphene oxide-based meniscus scaffold with anti-inflammatory and anti-ROS functions for cartilage protection and delaying osteoarthritis",2021,"Acta Biomaterialia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103715798&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103715798&origin=inward",65,"2026-01-24 10:29:43","Article","10.1016/j.actbio.2021.02.046","1742-7061",,126,,119,131,95,19.00,95,1,5,"","",""
93,"L.R. Rivera","Antibacterial, pro-angiogenic and pro-osteointegrative zein-bioactive glass/copper based coatings for implantable stainless steel aimed at bone healing",2021,"Bioactive Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096167930&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096167930&origin=inward",69,"2026-01-24 10:29:43","Article","10.1016/j.bioactmat.2020.11.001","2452-199X",,6,5,1479,1490,93,18.60,93,1,5,"","",""
93,"X. Ma","Chitosan/polydopamine layer by layer self-assembled silk fibroin nanofibers for biomedical applications",2021,"Carbohydrate Polymers","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090700592&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090700592&origin=inward",70,"2026-01-24 10:29:43","Article","10.1016/j.carbpol.2020.117058","0144-8617",,251,,,,93,18.60,93,1,5,"","",""
93,"H. Bi","Proteomic analysis of decellularized pancreatic matrix identifies collagen V as a critical regulator for islet organogenesis from human pluripotent stem cells",2020,"Biomaterials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076857679&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076857679&origin=inward",71,"2026-01-24 10:29:43","Article","10.1016/j.biomaterials.2019.119673","0142-9612",,233,,,,93,15.50,93,1,6,"","",""
91,"K. Diedkova","Polycaprolactone-Mxene nanofibrous scaffolds for tissue engineering",2023,"ACS Applied Materials and Interfaces","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149806396&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149806396&origin=inward",73,"2026-01-24 10:29:43","Article","10.1021/acsami.2c22780","1944-8244",,15,11,14033,14047,91,30.33,91,1,3,"","",""
90,"R. Yaseri","Surface modification of polycaprolactone nanofibers through hydrolysis and aminolysis: a comparative study on structural characteristics, mechanical properties, and cellular performance",2023,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85161448773&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85161448773&origin=inward",75,"2026-01-24 10:29:43","Article","10.1038/s41598-023-36563-w","2045-2322",,13,1,,,90,30.00,90,1,3,"","",""
89,"J. He","Chitosan-coated hydroxyapatite and drug-loaded polytrimethylene carbonate/polylactic acid scaffold for enhancing bone regeneration",2021,"Carbohydrate Polymers","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094313588&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094313588&origin=inward",76,"2026-01-24 10:29:43","Article","10.1016/j.carbpol.2020.117198","0144-8617",,253,,,,89,17.80,89,1,5,"","",""
88,"N.R. Barros","Biofabrication of endothelial cell, dermal fibroblast, and multilayered keratinocyte layers for skin tissue engineering",2021,"Biofabrication","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100605965&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100605965&origin=inward",77,"2026-01-24 10:29:43","Article","10.1088/1758-5090/aba503","1758-5082",,13,3,,,88,17.60,88,1,5,"","",""
86,"M. Parvizifard","Physical, mechanical and biological performance of PHB-Chitosan/MWCNTs nanocomposite coating deposited on bioglass based scaffold: Potential application in bone tissue engineering",2020,"International Journal of Biological Macromolecules","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080901010&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85080901010&origin=inward",81,"2026-01-24 10:29:43","Article","10.1016/j.ijbiomac.2020.02.266","0141-8130",,152,,645,662,86,14.33,86,1,6,"","",""
84,"Y. Deng","Graphene Oxide and Adiponectin-Functionalized Sulfonated Poly(etheretherketone) with Effective Osteogenicity and Remotely Repeatable Photodisinfection",2020,"Chemistry of Materials","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080863093&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85080863093&origin=inward",84,"2026-01-24 10:29:43","Article","10.1021/acs.chemmater.0c00290","0897-4756",,32,5,2180,2193,84,14.00,84,1,6,"","",""
