"Authors","No","Year","Cites","DOI","Title"
"H.F. Pereira","1","2020","152","10.1007/s10856-020-06364-y","Scaffolds and coatings for bone regeneration"
"J. Yan","2","2020","125","10.1016/j.actbio.2020.07.062","pH-responsive silk fibroin-based CuO/Ag coating"
"F. Batool","3","2021","118","10.1177/20417314211041428","Modulation of immune-inflammatory responses through surface modifications"
"M.N. Sarian","4","2022","115","10.1016/j.bioactmat.2021.10.034","Potential bioactive coating system for absorbable Mg bone implants"
"K.D. Patel","5","2020","107","10.1016/j.actbio.2020.03.012","Coating biopolymer nanofibers with CNTs accelerates tissue healing"
"S. Akshaya","6","2022","96","10.3390/antibiotics11121719","Antibacterial Coatings for Titanium Implants"
"L.R. Rivera","7","2021","93","10.1016/j.bioactmat.2020.11.001","Antibacterial pro-angiogenic zein-bioactive glass/copper coatings"
"B. Hu","8","2021","93","10.1016/j.carbpol.2021.118427","Chitosan-based layer-by-layer biomaterials"
"M. Parvizifard","9","2020","86","10.1016/j.ijbiomac.2020.02.266","PHB-Chitosan/MWCNTs nanocomposite coating on bioglass scaffold"
"H. Xing","10","2020","70","10.1016/j.biomaterials.2020.119784","Hierarchical nanostructured coating for siRNA-based dual therapy"
"K.H. Cheon","11","2021","70","10.1016/j.bioactmat.2020.10.007","Tantalum/PEI coatings on Mg implants"
"N/A","12","2020","53","N/A","Surface modification enhances interfacial bonding in PLLA/MgO scaffold"
"P. Zhao","13","2020","58","10.1093/RB/RBAA014","Surface modification of small intestine submucosa"
"A.M. Fathi","14","2021","57","10.1021/acsbiomaterials.0c01105","HAp-Coated Ti Implants with Graphene Mesolayers"
"M.A. Sahebalzamani","15","2022","54","10.1039/d1bm01756j","Layer-by-layer assembly approach to 3D bone scaffold"
